"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"MF 013"	"Milw Corridor Study USGS"	"33550 - 33551"	"Meno Falls"	FALSE	"MF 013"	"11/17/2009 17:30"	"11/18/2009 14:38"	"17-Nov-09"	"Baseflow"	"Baseflow"	14.35	30.14	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-11-17 17:30:00	10	2009-11-17	44.49	NA	NA	NA	NA	NA	"Nov"	NA	NA	1	1	0	"11/17/2009 17:30"	"11/18/2009 14:38"	NA	NA	NA	NA	NA	2009-11-17 17:30:00	2009-11-18 14:38:00	806262.93088	12.9355	21.1333333333333	2009-11-18 09:00:00	2009-11-18 14:00:00	1.55105442	1015743347.594	1153525568.24555
"MF 014"	"Milw Corridor Study USGS"	"33573 - 33574"	"Meno Falls"	FALSE	"MF 014"	"12/24/2009 23:28"	"12/27/2009 17:29"	"24-Dec-09"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-12-24 23:28:00	11	2009-12-24	0	NA	NA	NA	NA	NA	"Dec"	NA	NA	0	0	0	"12/24/2009 16:00"	"12/28/2009 21:00"	473.6412	147.1698	"MF 014"	FALSE	"Mix"	2009-12-24 16:00:00	2009-12-28 21:00:00	42428769.204	159.1727	101	2009-12-23 18:00:00	2009-12-26 19:00:00	46.497668631	0	0
"MF 015"	"Milw Corridor Study USGS"	"33592 - 33593"	"Meno Falls"	FALSE	"MF 015"	"1/20/2010 9:47"	"1/21/2010 4:24"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-01-20 09:47:00	0	2010-01-20	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"1/20/2010 9:47"	"1/21/2010 4:24"	NA	NA	NA	NA	NA	2010-01-20 09:47:00	2010-01-21 04:24:00	1149801.72243	17.70421	18.6166666666667	2010-01-20 09:00:00	2010-01-21 04:00:00	0	0	0
"MF 016"	"Milw Corridor Study USGS"	"33600 - 33601"	"Meno Falls"	FALSE	"MF 016"	"1/24/2010 7:13"	"1/26/2010 9:06"	"24-Jan-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-01-24 07:13:00	0	2010-01-24	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"1/24/2010 4:10"	"1/26/2010 20:00"	256.0346	110	"MF 016"	FALSE	"Mix"	2010-01-24 04:10:00	2010-01-26 20:00:00	24833659.404	201.0166	63.8333333333333	2010-01-24 04:00:00	2010-01-24 12:00:00	7.341789085	0	0
"MF 017"	"Milw Corridor Study USGS"	"33622 - 33623"	"Meno Falls"	FALSE	"MF 017"	"3/1/2010 8:59"	"3/2/2010 1:51"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-01 08:59:00	2	2010-03-01	331.74	0	0	0	331.74	331.74	"Mar"	0	0	0	1	0	"3/1/2010 8:59"	"3/2/2010 1:51"	NA	NA	NA	NA	NA	2010-03-01 08:59:00	2010-03-02 01:51:00	869250.46784	14.78108	16.8666666666667	2010-03-01 08:00:00	2010-03-02 01:00:00	0	8165591720.7276	11619023792.3397
"MF 018"	"Milw Corridor Study USGS"	"33660 - 33661"	"Meno Falls"	FALSE	"MF 018"	"3/9/2010 17:03"	"3/14/2010 14:31"	"9-Mar-10"	"Event"	"Mix"	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-09 17:03:00	2	2010-03-09	37.12	0	0	0	37.12	37.12	"Mar"	0	0	0	1	0	"3/9/2010 13:55"	"3/18/2010 3:00"	1425.5349	267.1138	"MF 018"	FALSE	"Mix"	2010-03-09 13:55:00	2010-03-18 03:00:00	122224326.108375	267.1138	204.083333333333	2010-03-09 18:00:00	2010-03-13 08:00:00	9.716143068	128472598111.26	15108251635.7872
"MF 020"	"Milw Corridor Study USGS"	"33690 - 33691"	"Meno Falls"	FALSE	"MF 020"	"4/6/2010 22:43"	"4/8/2010 13:47"	"6-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-06 22:43:00	3	2010-04-06	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"4/6/2010 22:43"	"4/11/2010 6:00"	522.3436	165.4199	"MF 020"	FALSE	"Rainfall"	2010-04-06 22:43:00	2010-04-11 06:00:00	45141756.99888	165.4199	103.283333333333	2010-04-06 21:00:00	2010-04-11 05:00:00	15.710731799	0	0
"MF 021"	"Milw Corridor Study USGS"	"33698 - 33699"	"Meno Falls"	FALSE	"MF 021"	"4/24/2010 23:07"	"4/26/2010 7:39"	"24-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-24 23:07:00	3	2010-04-24	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"4/24/2010 23:07"	"4/29/2010 18:00"	920.4763	306.4006	"MF 021"	FALSE	"Rainfall"	2010-04-24 23:07:00	2010-04-29 18:00:00	79546811.17575	306.4006	114.883333333333	2010-04-23 21:00:00	2010-04-29 01:00:00	45.8040450597	0	0
"MF 022"	"Milw Corridor Study USGS"	"33953 - 33952"	"Meno Falls"	FALSE	"MF 022"	"5/18/2010 11:04"	"5/19/2010 11:53"	"18-May-10"	"Baseflow"	"Baseflow"	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-18 11:04:00	4	2010-05-18	0.11	0	0	0	0.11	0.11	"May"	0	0	0	1	0	"5/18/2010 11:04"	"5/19/2010 11:53"	NA	NA	NA	NA	NA	2010-05-18 11:04:00	2010-05-19 11:53:00	3847948.022505	51.20136	24.8166666666667	2010-05-18 21:00:00	2010-05-18 23:00:00	0.3287627	11985792.923199	11591364.5462771
"MF 023"	"Milw Corridor Study USGS"	"33955 - 33954"	"Meno Falls"	FALSE	"MF 023"	"6/15/2010 15:14"	"6/16/2010 10:21"	"15-Jun-10"	"Event"	"Rainfall "	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-06-15 15:14:00	5	2010-06-15	2.69	0	0	0	2.69	2.69	"Jun"	0	0	0	1	0	"6/15/2010 15:14"	"6/16/2010 12:00"	31.8348	59.67	"MF 023"	FALSE	"Rainfall"	2010-06-15 15:14:00	2010-06-16 12:00:00	2751416.453175	59.66999	20.7666666666667	2010-06-15 11:00:00	2010-06-15 21:00:00	9.374606914	209581767.185053	242213278.287701
