"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"MF 013"	"33550 - 33551"	8669	"Meno Falls"	"MF"	FALSE	"MF 013"	"11/17/2009 17:30"	"11/18/2009 14:38"	"11/17/2009 23:30"	"11/18/2009 20:38"	"17-Nov-09"	"21-Nov-09"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	14.35	30.14	0	44.49	450	2200	136532	16677	NA	1020	NA	773	"11/17/2009 17:30"	"11/18/2009 14:38"	NA	NA	NA	NA	NA	2009-11-17 23:30:00	2009-11-17	2009-11-17 23:30:00	2009-11-18 20:38:00	806262.93088	12.9355	21.1333333333333	2009-11-18 14:00:00	2009-11-18 20:00:00	2.05523822	327.622320475924	688.121027118074	0	1015.743347594	10273.8706769454	50227.8121983996	3117138.02503268	380749.647287595	23287.4402010762	17648.2267406195
"MF 014"	"33573 - 33574"	NA	"Meno Falls"	"MF"	FALSE	"MF 014"	"12/24/2009 23:28"	"12/27/2009 17:29"	"12/25/2009 5:28"	"12/27/2009 23:29"	"24-Dec-09"	NA	"Dec"	"Event"	"Mix"	"Mix"	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009 16:00"	"12/28/2009 21:00"	473.6412	147.1698	"MF 014"	FALSE	"Mix"	2009-12-25 05:28:00	2009-12-25	2009-12-24 22:00:00	2009-12-29 03:00:00	42428769.204	159.1727	101	2009-12-23 23:00:00	2009-12-27 00:00:00	46.497668631	0	0	0	0	NA	NA	NA	NA	NA	NA
"MF 015"	"33592 - 33593"	8696	"Meno Falls"	"MF"	FALSE	"MF 015"	"1/20/2010 9:47"	"1/21/2010 4:24"	"1/20/2010 15:47"	"1/21/2010 10:24"	"20-Jan-10"	"23-Jan-10"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	17	15	76372	5111	NA	1089	NA	1110	"1/20/2010 9:47"	"1/21/2010 4:24"	NA	NA	NA	NA	NA	2010-01-20 15:47:00	2010-01-20	2010-01-20 15:47:00	2010-01-21 10:24:00	1149801.72243	17.70421	18.6166666666667	2010-01-20 15:00:00	2010-01-21 10:00:00	0	0	0	0	0	553.49890274955	488.381384779015	2486577.54122286	166407.817173703	35456.4885349565	36140.2224736471
"MF 016"	"33600 - 33601"	8705	"Meno Falls"	"MF"	FALSE	"MF 016"	"1/24/2010 7:13"	"1/26/2010 9:06"	"1/24/2010 13:13"	"1/26/2010 15:06"	"24-Jan-10"	"28-Jan-10"	"Jan"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	340	230	477166	47057	NA	3419	NA	2441	"1/24/2010 4:10"	"1/26/2010 20:00"	256.0346	110	"MF 016"	FALSE	"Mix"	2010-01-24 13:13:00	2010-01-24	2010-01-24 10:10:00	2010-01-27 02:00:00	24833659.404	201.0166	63.8333333333333	2010-01-24 09:00:00	2010-01-24 17:00:00	7.341789085	0	0	0	0	239091.714044756	161738.512442041	335548343.599647	33090996.4347179	2404278.14799712	1716537.86465661
"MF 017"	"33622 - 33623"	8721	"Meno Falls"	"MF"	FALSE	"MF 017"	"3/1/2010 8:59"	"3/2/2010 1:51"	"3/1/2010 14:59"	"3/2/2010 7:51"	"1-Mar-10"	"4-Mar-10"	"Mar"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	331.74	0	331.74	6	20	163866	8617	NA	941	NA	236	"3/1/2010 8:59"	"3/2/2010 1:51"	NA	NA	NA	NA	NA	2010-03-01 14:59:00	2010-03-01	2010-03-01 14:59:00	2010-03-02 07:51:00	869250.46784	14.78108	16.8666666666667	2010-03-01 14:00:00	2010-03-02 07:00:00	0	0	8165.5917207276	0	8165.5917207276	147.686592887097	492.28864295699	4033468.53833951	212102.561818019	23162.1806511264	5809.00598689249
"MF 018"	"33660 - 33661"	8747	"Meno Falls"	"MF"	FALSE	"MF 018"	"3/9/2010 17:03"	"3/14/2010 14:31"	"3/9/2010 23:03"	"3/14/2010 20:31"	"9-Mar-10"	"17-Mar-10"	"Mar"	"Event"	"Mix"	"Mix"	"Rain"	0	37.12	0	37.12	0	0	19527	1407	NA	195	"BLD1:1"	60	"3/9/2010 13:55"	"3/18/2010 3:00"	1425.5349	267.1138	"MF 018"	FALSE	"Mix"	2010-03-09 23:03:00	2010-03-09	2010-03-09 19:55:00	2010-03-18 08:00:00	122224326.108375	267.1138	204.083333333333	2010-03-09 23:00:00	2010-03-13 13:00:00	9.716143068	0	128472.59811126	0	128472.59811126	0	0	67583093.300608	4869637.54155556	674896.46098318	207660.449533286
"MF 020"	"33690 - 33691"	8800	"Meno Falls"	"MF"	FALSE	"MF 020"	"4/6/2010 22:43"	"4/8/2010 13:47"	"4/7/2010 4:43"	"4/8/2010 19:47"	"6-Apr-10"	"10-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	480	440	155947	10086	NA	900	NA	225	"4/6/2010 22:43"	"4/11/2010 6:00"	522.3436	165.4199	"MF 020"	FALSE	"Rainfall"	2010-04-07 04:43:00	2010-04-07	2010-04-07 03:43:00	2010-04-11 11:00:00	45141756.99888	165.4199	103.283333333333	2010-04-07 02:00:00	2010-04-11 10:00:00	15.710731799	0	0	0	0	613570.659758701	562439.771445476	199342715.994563	12892653.4881797	1150444.98704756	287611.246761891
"MF 021"	"33698 - 33699"	8856	"Meno Falls"	"MF"	FALSE	"MF 021"	"4/24/2010 23:07"	"4/26/2010 7:39"	"4/25/2010 5:07"	"4/26/2010 13:39"	"24-Apr-10"	"28-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	410	620	237132	25764	NA	1298	NA	705	"4/24/2010 23:07"	"4/29/2010 18:00"	920.4763	306.4006	"MF 021"	FALSE	"Rainfall"	2010-04-25 05:07:00	2010-04-25	2010-04-25 04:07:00	2010-04-29 23:00:00	79546811.17575	306.4006	114.883333333333	2010-04-24 02:00:00	2010-04-29 06:00:00	45.8040450597	0	0	0	0	923531.088068067	1396559.20634683	534143351.160382	58033792.5682577	2923764.27393256	1588022.96850729
"MF 022"	"33953 - 33952"	8971	"Meno Falls"	"MF"	FALSE	"MF 022"	"5/18/2010 11:04"	"5/19/2010 11:53"	"5/18/2010 17:04"	"5/19/2010 17:53"	"18-May-10"	"21-May-10"	"May"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0.11	0	0.11	60	40	55874	3355	NA	360	NA	240	"5/18/2010 11:04"	"5/19/2010 11:53"	NA	NA	NA	NA	NA	2010-05-18 17:04:00	2010-05-18	2010-05-18 16:04:00	2010-05-19 16:53:00	3847948.022505	51.20136	24.8166666666667	2010-05-19 02:00:00	2010-05-19 04:00:00	0.3287627	0	11.985792923199	0	11.985792923199	6537.70523083583	4358.47015389055	6088129.03446202	365566.68415757	39226.231385015	26150.8209233433
"MF 023"	"33955 - 33954"	9312	"Meno Falls"	"MF"	FALSE	"MF 023"	"6/15/2010 15:14"	"6/16/2010 10:21"	"6/15/2010 21:14"	"6/16/2010 16:21"	"15-Jun-10"	"18-Jun-10"	"Jun"	"Event"	"Rainfall "	"CSO"	"CSO"	0	2.69	0	2.69	14400	4500	49360	93358	NA	2749	NA	2824	"6/15/2010 15:14"	"6/16/2010 12:00"	31.8348	59.67	"MF 023"	FALSE	"Rainfall"	2010-06-15 21:14:00	2010-06-15	2010-06-15 20:14:00	2010-06-16 17:00:00	2751416.453175	59.66999	20.7666666666667	2010-06-15 16:00:00	2010-06-16 02:00:00	9.374606914	0	209.581767185053	0	209.581767185053	1121924.70165976	350601.469268676	3845708.56068929	7273655.99288556	214178.542004353	220021.899825498
"MF 025"	"33958 - 33957"	9456	"Meno Falls"	"MF"	FALSE	"MF 025"	"7/13/2010 8:29"	"7/14/2010 5:57"	"7/13/2010 14:29"	"7/14/2010 11:57"	"13-Jul-10"	"16-Jul-10"	"Jul"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	170	280	1289	2527	NA	233	"BLD1:1"	60	"7/13/2010 8:29"	"7/14/2010 5:57"	NA	NA	NA	NA	NA	2010-07-13 14:29:00	2010-07-13	2010-07-13 13:29:00	2010-07-14 10:57:00	679742.0062315	10.21023	21.4666666666667	2010-07-13 13:00:00	2010-07-14 10:00:00	0	0	0	0	0	3272.18551914127	5389.48203152679	24810.8654951358	48640.0753345293	4484.8189762348	1154.88900675574
"MF 026"	"34570 - 34569"	9497	"Meno Falls"	"MF"	FALSE	"MF 026"	"7/15/2010 7:07"	"7/16/2010 7:19"	"7/15/2010 13:07"	"7/16/2010 13:19"	"15-Jul-10"	"16-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	9900	5000	2376	78531	NA	428	NA	203	"7/14/2010 21:30"	"7/20/2010 3:00"	1350.6067	698.7151	"MF 026"	FALSE	"Rainfall"	2010-07-15 13:07:00	2010-07-15	2010-07-15 02:30:00	2010-07-20 08:00:00	116692921.015725	698.7151	125.5	2010-07-15 01:00:00	2010-07-20 00:00:00	69.470806258	0	0	0	0	32713317.8734691	16521877.7138733	7851196.28963259	259495915.749637	1414272.73230755	670788.235183256
"MF 027"	"33960 - 33959"	9573	"Meno Falls"	"MF"	TRUE	"MF 027"	"7/22/2010 16:27"	"7/23/2010 12:05"	"7/22/2010 22:27"	"7/23/2010 18:05"	"22-Jul-10"	"23-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	5240.67156731685	2264.7406563351	NA	31495.5628523437	NA	1544.67397452001	"BLD1:2"	1056.94718143382	"7/22/2010 10:00"	"7/23/2010 12:35"	2316.6584	1453.891	"MF 027"	TRUE	"Rainfall"	2010-07-22 22:27:00	2010-07-22	2010-07-22 15:00:00	2010-07-23 17:35:00	200159534.13075	1453.891	26.5833333333333	2010-07-22 13:00:00	2010-07-23 15:00:00	59.41315821	0	0	0	0	29703533.314336	12836293.7210779	NA	178513285.639331	8755037.26432413	5990657.00110012
"MF 031"	"34063 - 34062"	9765	"Meno Falls"	"MF"	FALSE	"MF 031"	"9/1/2010 2:01"	"9/1/2010 14:08"	"9/1/2010 8:01"	"9/1/2010 20:08"	"1-Sep-10"	"2-Sep-10"	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	8900	11200	27919	120867	NA	5993	NA	585	"9/1/2010 1:45"	"9/1/2010 14:15"	18.1953	118.6552	"MF 031"	FALSE	"Rainfall"	2010-09-01 08:01:00	2010-09-01	2010-09-01 06:45:00	2010-09-01 19:15:00	1572200.320725	118.6552	12.5	2010-09-01 04:00:00	2010-09-01 14:00:00	12.525591188	0	0	0	0	396225.822115381	498621.259291266	1242947.04804936	5380969.26310334	266806.893476121	26044.0568469099
"MF 032"	"34127 - 34126"	10043	"Meno Falls"	"MF"	FALSE	"MF 032"	"9/13/2010 8:49"	"9/14/2010 7:52"	"9/13/2010 14:49"	"9/14/2010 13:52"	"13-Sep-10"	"14-Sep-10"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	330	250	127487	10728	"BLD1:1"	60	NA	120	"9/13/2010 8:49"	"9/14/2010 7:52"	NA	NA	NA	NA	NA	2010-09-13 14:49:00	2010-09-13	2010-09-13 13:49:00	2010-09-14 12:52:00	691948.888788	10.5937	23.05	2010-09-13 13:00:00	2010-09-14 12:00:00	0	0	0	0	0	6465.95747599384	4898.45263332867	2497956.12346069	210202.3994014	1175.62863199888	2351.25726399776
"MF 033"	"34077 - 34076"	10150	"Meno Falls"	"MF"	FALSE	"MF 033"	"10/23/2010 16:59"	"10/24/2010 17:11"	"10/23/2010 22:59"	"10/24/2010 23:11"	"23-Oct-10"	"25-Oct-10"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	4000	7500	877105	360998	NA	2907	NA	2402	"10/23/2010 16:59"	"10/25/2010 12:05"	49.1503	68.18	"MF 033"	FALSE	"Rainfall"	2010-10-23 22:59:00	2010-10-23	2010-10-23 21:59:00	2010-10-25 17:05:00	4252607.92276	68.18	43.1	2010-10-23 12:00:00	2010-10-24 17:00:00	29.455053358	0	0	0	0	481681.784658875	903153.34623539	105621375.433306	43471540.2245711	350062.237000837	289249.911687654
"MF 034"	"34085 - 34084"	10215	"Meno Falls"	"MF"	FALSE	"MF 034"	"10/26/2010 8:37"	"10/26/2010 22:50"	"10/26/2010 14:37"	"10/27/2010 4:50"	"26-Oct-10"	"26-Oct-10"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	48.97	48.97	4700	2400	157140	37222	NA	915	NA	1155	"10/26/2010 5:00"	"10/27/2010 2:30"	27.6365	56.4851	"MF 034"	FALSE	"Rainfall"	2010-10-26 14:37:00	2010-10-26	2010-10-26 10:00:00	2010-10-27 07:30:00	2387799.0135	56.4851	21.5	2010-10-26 06:00:00	2010-10-26 20:00:00	11.066385617	0	0	3311.10353138188	3311.10353138188	317790.2102817	162275.85205874	10625011.413546	2516763.23555435	61867.6685973947	78095.2538032687
"MF 035"	"34093 - 34092"	10327	"Meno Falls"	"MF"	FALSE	"MF 035"	"11/10/2010 9:14"	"11/11/2010 8:01"	"11/10/2010 15:14"	"11/11/2010 14:01"	"10-Nov-10"	"11-Nov-10"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	120	90	76784	2548	"BLD1:1"	60	"BLD1:1"	60	"11/10/2010 9:14"	"11/11/2010 8:01"	NA	NA	NA	NA	NA	2010-11-10 15:14:00	2010-11-10	2010-11-10 15:14:00	2010-11-11 14:01:00	594832.949103	7.836458	22.7833333333333	2010-11-10 15:00:00	2010-11-11 14:00:00	0	0	0	0	0	2021.25520411399	1515.94140308549	1293333.82993907	42917.9855006871	1010.627602057	1010.627602057
"MF 036"	"34111 - 34110"	10337	"Meno Falls"	"MF"	FALSE	"MF 036"	"11/22/2010 7:38"	"11/23/2010 7:49"	"11/22/2010 13:38"	"11/23/2010 13:49"	"22-Nov-10"	"23-Nov-10"	"Nov"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0.09	0.09	6200	6400	2001947	97317	NA	2677	NA	2025	"11/22/2010 7:38"	"11/23/2010 11:45"	12.9746	22.1066	"MF 036"	FALSE	"Rainfall"	2010-11-22 13:38:00	2010-11-22	2010-11-22 13:38:00	2010-11-23 17:45:00	1124259.6557475	22.10664	28.1166666666667	2010-11-22 08:00:00	2010-11-22 23:00:00	8.41915172	0	0	2.8651939381239	2.8651939381239	197380.026848535	203747.124488811	63732960.0982815	3098134.20529338	85223.6019150854	64466.8636077878
"MF 037"	"34556 - 34555"	10456	"Meno Falls"	"MF"	FALSE	"MF 037"	"1/5/2011 10:48"	"1/6/2011 8:23"	"1/5/2011 16:48"	"1/6/2011 14:23"	"5-Jan-11"	"6-Jan-11"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	20	10	93561	3084	NA	143	NA	68	"1/5/2011 10:48"	"1/6/2011 8:23"	NA	NA	NA	NA	NA	2011-01-05 16:48:00	2011-01-05	2011-01-05 16:48:00	2011-01-06 14:23:00	1896584.955085	31.99573	21.5833333333333	2011-01-05 21:00:00	2011-01-05 23:00:00	1.3080597	0	0	0	0	1074.10610443674	537.053052218372	5024722.06186031	165627.161304146	7679.85864672271	3651.96075508493
