"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"MC 014"	"Milw Corridor Study USGS"	"33496 - 33497"	"16th St."	FALSE	"MC 014"	"10/1/2009 20:26"	"10/2/2009 9:44"	"1-Oct-09"	"Event"	"Rainfall "	1.86	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-10-01 20:26:00	9	2009-10-01	1.86	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	0	0	"10/1/2009 17:30"	"10/2/2009 20:00"	454.4755	2511.373	"MC 014"	FALSE	"Rainfall"	2009-10-01 17:30:00	2009-10-02 20:00:00	39333698.784375	2511.373	26.5	2009-10-01 16:00:00	2009-10-02 19:00:00	26.547826862	2071679744.73394	1876238259.38168
"MC 015"	"Milw Corridor Study USGS"	"33534 - 33535"	"16th St."	TRUE	"MC 015"	"10/22/2009 8:02"	"10/23/2009 12:00"	"22-Oct-09"	"Event"	"Rainfall "	5.49	14.85	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-10-22 08:02:00	9	2009-10-22	11.3886861701238	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	1	0	"10/22/2009 8:00"	"10/23/2009 12:09"	593.9938	1361.0909	"MC 015"	TRUE	"Rainfall"	2009-10-22 08:00:00	2009-10-23 12:09:00	101464897.010625	1361.091	28.15	2009-10-22 04:00:00	2009-10-23 12:00:00	40.962395736	32721585013.1414	27897621325.5913
"MC 017"	"Milw Corridor Study USGS"	"33558 - 33559"	"16th St."	FALSE	"MC 017"	"11/17/2009 17:55"	"11/18/2009 15:26"	"17-Nov-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-11-17 17:55:00	10	2009-11-17	0	NA	NA	NA	NA	NA	"Nov"	NA	NA	0	0	0	"11/17/2009 17:55"	"11/18/2009 15:26"	NA	NA	NA	NA	NA	2009-11-17 17:55:00	2009-11-18 15:26:00	5663188.510425	1152.316	21.5166666666667	2009-11-18 00:00:00	2009-11-18 15:00:00	3.580867781	0	0
"MC 018"	"Milw Corridor Study USGS"	"33581 - 33582"	"16th St."	FALSE	"MC 018"	"12/24/2009 19:22"	"12/27/2009 19:15"	"24-Dec-09"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-12-24 19:22:00	11	2009-12-24	0	NA	NA	NA	NA	NA	"Dec"	NA	NA	0	0	0	"12/24/2009 14:00"	"12/28/2009 1:00"	2888.5806	2564.478	"MC 018"	FALSE	"Mix"	2009-12-24 14:00:00	2009-12-28 01:00:00	249571042.73025	2564.478	83	2009-12-23 17:00:00	2009-12-26 23:00:00	46.622775613	0	0
"MC 019"	"Milw Corridor Study USGS"	"33598 - 33599"	"16th St."	FALSE	"MC 019"	"1/20/2010 13:32"	"1/21/2010 13:31"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-01-20 13:32:00	0	2010-01-20	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"1/20/2010 13:32"	"1/21/2010 13:31"	NA	NA	NA	NA	NA	2010-01-20 13:32:00	2010-01-21 13:31:00	6028585.52529	1335.335	23.9833333333333	2010-01-20 13:00:00	2010-01-21 13:00:00	0	0	0
"MC 020"	"Milw Corridor Study USGS"	"33608 - 33609"	"16th St."	FALSE	"MC 020"	"1/24/2010 1:32"	"1/26/2010 13:46"	"24-Jan-10"	"Event"	"Mix"	21.82	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-01-24 01:32:00	0	2010-01-24	21.82	NA	NA	NA	NA	NA	"Jan"	NA	NA	1	0	0	"1/23/2010 21:00"	"1/26/2010 20:00"	1564.2693	2606.2061	"MC 020"	FALSE	"Mix"	2010-01-23 21:00:00	2010-01-26 20:00:00	135161607.9795	2606.206	71	2010-01-24 04:00:00	2010-01-25 19:00:00	7.4419432658	83512788308.9469	28229674921.3342
"MC 021"	"Milw Corridor Study USGS"	"33616 - 33617"	"16th St."	FALSE	"MC 021"	"3/1/2010 9:49"	"3/2/2010 9:16"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-01 09:49:00	2	2010-03-01	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"3/1/2010 9:49"	"3/2/2010 9:16"	NA	NA	NA	NA	NA	2010-03-01 09:49:00	2010-03-02 09:16:00	4420110.246	804.9373	23.45	2010-03-01 09:00:00	2010-03-02 09:00:00	0	0	0
"MC 022"	"Milw Corridor Study USGS"	"33670 - 33671"	"16th St."	FALSE	"MC 022"	"3/9/2010 17:21"	"3/15/2010 8:43"	"9-Mar-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-09 17:21:00	2	2010-03-09	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"3/9/2010 12:00"	"3/15/2010 16:00"	4055.3394	2182.427	"MC 022"	FALSE	"Mix"	2010-03-09 12:00:00	2010-03-15 16:00:00	347614842.86775	2182.427	147	2010-03-09 18:00:00	2010-03-13 10:00:00	11.773339439	0	0
"MC 024"	"Milw Corridor Study USGS"	"33684 - 33685"	"16th St."	FALSE	"MC 024"	"4/5/2010 22:53"	"4/7/2010 13:37"	"5-Apr-10"	"Event"	"Rainfall "	0	2.35	0	0	0	0	0	0	8.59	3.27	0	0	0	0	0	0	0	0	0	1.95	0	0	2010-04-05 22:53:00	3	2010-04-05	2.35	11.86	0	1.95	14.21	16.16	"Apr"	0	1	0	1	0	"4/5/2010 20:00"	"4/7/2010 13:37"	813.881	3430.241	"MC 024"	FALSE	"Rainfall"	2010-04-05 20:00:00	2010-04-07 13:37:00	70239256.72575	3430.241	41.6166666666667	2010-04-05 17:00:00	2010-04-07 09:00:00	27.6498115675	4674042504.98204	2695483062.54471
"MC 025"	"Milw Corridor Study USGS"	"33704 - 33705"	"16th St."	FALSE	"MC 025"	"4/25/2010 0:01"	"4/26/2010 12:37"	"25-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-25 00:01:00	3	2010-04-25	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"4/24/2010 19:00"	"4/26/2010 13:00"	1727.8312	3143.1941	"MC 025"	FALSE	"Rainfall"	2010-04-24 19:00:00	2010-04-26 13:00:00	149285481.33825	3143.194	42	2010-04-23 21:00:00	2010-04-25 23:00:00	41.2332118126	0	0
"MC 026"	"Milw Corridor Study USGS"	"33706 - 33707"	"16th St."	FALSE	"MC 026"	"5/7/2010 9:11"	"5/9/2010 7:19"	"7-May-10"	"Event"	"Rainfall "	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-07 09:11:00	4	2010-05-07	6.33	0	0	0	6.33	6.33	"May"	0	0	1	0	0	"5/7/2010 4:00"	"5/9/2010 9:30"	481.2929	3027.3059	"MC 026"	FALSE	"Rainfall"	2010-05-07 04:00:00	2010-05-09 09:30:00	41588870.60775	3027.306	53.5	2010-05-06 21:00:00	2010-05-08 18:00:00	10.745399183	7454623684.35345	3344130250.92491
"MC 027"	"Milw Corridor Study USGS"	"33718 - 33719"	"16th St."	FALSE	"MC 027"	"5/11/2010 5:21"	"5/12/2010 8:45"	"11-May-10"	"Event"	"Rainfall "	0	0	0	68.67	0	0	0	0	7.94	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-11 05:21:00	4	2010-05-11	68.67	7.94	0	0	76.61	76.61	"May"	0	0	0	0	1	"5/11/2010 4:00"	"5/12/2010 12:00"	741.041	1770.6379	"MC 027"	FALSE	"Rainfall"	2010-05-11 04:00:00	2010-05-12 12:00:00	64028081.34	1770.638	32	2010-05-10 21:00:00	2010-05-12 02:00:00	41.7892897942	124503747417.285	93377810562.9634
"MC 028"	"Milw Corridor Study USGS"	"33935 - 33934"	"16th St."	FALSE	"MC 028"	"5/13/2010 1:06"	"5/14/2010 6:48"	"13-May-10"	"Event"	"Rainfall "	0	0	0	22.33	0	0	0	0	2.42	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-13 01:06:00	4	2010-05-13	22.33	2.42	0	0	24.75	24.75	"May"	0	0	0	0	1	"5/12/2010 21:30"	"5/14/2010 7:00"	1477.3958	4645.3989	"MC 028"	FALSE	"Rainfall"	2010-05-12 21:30:00	2010-05-14 07:00:00	127645652.6595	4645.399	33.5	2010-05-12 21:00:00	2010-05-13 11:00:00	30.863723942	80712284399.1684	57823726136.7177
"MC 029"	"Milw Corridor Study USGS"	"33937 - 33936"	"16th St."	FALSE	"MC 029"	"5/18/2010 8:07"	"5/19/2010 13:05"	"18-May-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-18 08:07:00	4	2010-05-18	0	0	0	0	0	0	"May"	0	0	0	0	0	"5/18/2010 8:07"	"5/19/2010 13:05"	NA	NA	NA	NA	NA	2010-05-18 08:07:00	2010-05-19 13:05:00	21233672.34687	959.6227	28.9666666666667	2010-05-18 21:00:00	2010-05-18 23:00:00	0.52106676	0	0
"MC 034"	"Milw Corridor Study USGS"	"33939 - 33938"	"16th St."	FALSE	"MC 034"	"6/2/2010 17:43"	"6/3/2010 10:56"	"2-Jun-10"	"Event"	"Rainfall "	0	3.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-06-02 17:43:00	5	2010-06-02	3.56	0	0	0	3.56	3.56	"Jun"	0	0	0	1	0	"6/2/2010 14:00"	"6/3/2010 22:00"	617.4009	3090.2161	"MC 034"	FALSE	"Rainfall"	2010-06-02 14:00:00	2010-06-03 22:00:00	53339485.39575	3090.216	32	2010-06-02 02:00:00	2010-06-02 21:00:00	19.4976811882	5377045449.88173	4032784087.4113
"MC 036"	"Milw Corridor Study USGS"	"33942 - 33941"	"16th St."	FALSE	"MC 036"	"7/13/2010 8:53"	"7/14/2010 15:27"	"14-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	1.86	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-13 08:53:00	6	2010-07-13	0	1.86	0	0	1.86	1.86	"Jul"	0	0	0	0	0	"7/13/2010 8:53"	"7/14/2010 15:27"	NA	NA	NA	NA	NA	2010-07-13 08:53:00	2010-07-14 15:27:00	-1.09170154468827e+30	-428.9963	30.5666666666667	2010-07-12 19:00:00	2010-07-13 01:00:00	0.003338173	0	0
"MC 038"	"Milw Corridor Study USGS"	"33944 - 33943"	"16th St."	TRUE	"MC 038"	"7/22/2010 10:32"	"7/23/2010 13:33"	"22-Jul-10"	"Event"	"Rainfall "	1.84	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-22 10:32:00	6	2010-07-22	1.91378352309266	0.13	0	0	1.97	1.97	"Jul"	0	0	1	0	0	"7/22/2010 9:00"	"7/23/2010 13:53"	6897.8159	12630.3398	"MC 038"	TRUE	"Rainfall"	2010-07-22 09:00:00	2010-07-23 13:53:00	975486996.576	12630.34	28.8833333333333	2010-07-22 09:00:00	2010-07-23 11:00:00	89.262549446	52863898044.4439	43926147249.8553
"MC 040"	"Milw Corridor Study USGS"	"33948 - 33947"	"16th St."	FALSE	"MC 040"	"8/4/2010 11:27"	"8/5/2010 8:05"	"4-Aug-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-08-04 11:27:00	7	2010-08-04	0	0	0	0	0	0	"Aug"	0	0	0	0	0	"8/4/2010 11:27"	"8/5/2010 8:05"	NA	NA	NA	NA	NA	2010-08-04 11:27:00	2010-08-05 08:05:00	2158979.212725	1799.709	20.6333333333333	2010-08-04 16:00:00	2010-08-04 18:00:00	0.037627017	0	0
"MC 042"	"Milw Corridor Study USGS"	"34067 - 34066"	"16th St."	FALSE	"MC 042"	"9/1/2010 3:23"	"9/1/2010 20:34"	"1-Sep-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-01 03:23:00	8	2010-09-01	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"9/1/2010 1:30"	"9/2/2010 4:30"	392.1198	1528.538	"MC 042"	FALSE	"Rainfall"	2010-09-01 01:30:00	2010-09-02 04:30:00	33861088.6155	1528.538	27	2010-08-31 17:00:00	2010-09-01 22:00:00	13.978126234	0	0
