"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"MC 043"	"Milw Corridor Study USGS"	"34119 - 34118"	"16th St."	FALSE	"MC 043"	"9/13/2010 9:25"	"9/14/2010 11:07"	"13-Sep-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-13 09:25:00	8	2010-09-13	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"9/13/2010 9:25"	"9/14/2010 11:07"	NA	NA	NA	NA	NA	2010-09-13 09:25:00	2010-09-14 11:07:00	5739607.31595	803.6302	25.7	2010-09-13 09:00:00	2010-09-14 11:00:00	0	0	0
"MC 044"	"Milw Corridor Study USGS"	"34069 - 34068"	"16th St."	FALSE	"MC 044"	"10/13/2010 11:15"	"10/14/2010 10:30"	"13-Oct-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-13 11:15:00	9	2010-10-13	0	0	0	0	0	0	"Oct"	0	0	0	0	0	"10/13/2010 11:15"	"10/14/2010 10:30"	NA	NA	NA	NA	NA	2010-10-13 11:15:00	2010-10-14 10:30:00	766610.1726	610.455	23.25	2010-10-13 00:00:00	2010-10-13 23:00:00	0.243894098	0	0
"MC 045"	"Milw Corridor Study USGS"	"34081 - 34080"	"16th St."	FALSE	"MC 045"	"10/23/2010 21:06"	"10/24/2010 18:45"	"23-Oct-10"	"Event"	"Rainfall "	60.59	0	0	0	0	0	0	0	20.38	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-23 21:06:00	9	2010-10-23	60.59	20.38	0	0	80.97	80.97	"Oct"	0	0	1	0	0	"10/23/2010 21:00"	"10/24/2010 22:00"	299.5474	2093.605	"MC 045"	FALSE	"Rainfall"	2010-10-23 21:00:00	2010-10-24 22:00:00	25887069.2784	2093.605	25	2010-10-23 07:00:00	2010-10-24 12:00:00	25.319678058	44414903868.3648	42638307713.6302
"MC 046"	"Milw Corridor Study USGS"	"34089 - 34088"	"16th St."	FALSE	"MC 046"	"10/26/2010 6:01"	"10/27/2010 0:14"	"26-Oct-10"	"Event"	"Rainfall "	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-26 06:01:00	9	2010-10-26	1.43	0	0	0	1.43	1.43	"Oct"	0	0	1	0	0	"10/26/2010 4:00"	"10/27/2010 7:00"	223.7735	2060.7229	"MC 046"	FALSE	"Rainfall"	2010-10-26 04:00:00	2010-10-27 07:00:00	19333567.61955	2060.723	27	2010-10-26 01:00:00	2010-10-26 15:00:00	10.658992109	782875905.753164	695889694.002813
"MC 047"	"Milw Corridor Study USGS"	"34117 - 34116"	"16th St."	FALSE	"MC 047"	"11/22/2010 7:51"	"11/23/2010 8:21"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-22 07:51:00	10	2010-11-22	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"11/22/2010 5:30"	"11/24/2010 3:00"	265.5019	2177.2571	"MC 047"	FALSE	"Rainfall"	2010-11-22 05:30:00	2010-11-24 03:00:00	22949889.97155	2177.257	45.5	2010-11-21 19:00:00	2010-11-22 18:00:00	8.660995159	0	0
"MC 048"	"Milw Corridor Study USGS"	"34323 - 34322"	"16th St."	FALSE	"MC 048"	"12/11/2010 16:27"	"12/12/2010 20:18"	"11-Dec-10"	"Event"	"Mix"	0.11	0	0	0	0	0	0	0	4.49	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-12-11 16:27:00	11	2010-12-11	0.11	4.49	0	0	4.6	4.6	"Dec"	0	0	1	0	0	"12/11/2010 13:00"	"12/13/2010 4:00"	604.8026	1589.798	"MC 048"	FALSE	"Mix"	2010-12-11 13:00:00	2010-12-13 04:00:00	52239781.251075	1589.798	39	2010-12-11 15:00:00	2010-12-12 15:00:00	40.98388083	162719245.885496	100134920.544921
"MC 049"	"Milw Corridor Study USGS"	""	"16th St."	FALSE	"MC 049"	"12/19/2010 12:44"	"12/20/2010 11:11"	"19-Dec-10"	"Baseflow"	"Baseflow"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-12-19 12:44:00	11	2010-12-19	NA	NA	NA	NA	NA	NA	"Dec"	NA	NA	NA	NA	NA	"12/19/2010 12:44"	"12/20/2010 11:11"	NA	NA	NA	NA	NA	2010-12-19 12:44:00	2010-12-20 11:11:00	4656873.92517	693.4876	22.45	2010-12-19 12:00:00	2010-12-20 11:00:00	0	NA	NA
"MC 050"	"Milw Corridor Study USGS"	"34562 - 34561"	"16th St."	FALSE	"MC 050"	"1/5/2011 10:44"	"1/6/2011 8:44"	"5-Jan-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-01-05 10:44:00	0	2011-01-05	0	0	0	0	0	0	"Jan"	0	0	0	0	0	"1/5/2011 10:44"	"1/6/2011 8:44"	NA	NA	NA	NA	NA	2011-01-05 10:44:00	2011-01-06 08:44:00	8618110.78419	701.0368	22	2011-01-05 16:00:00	2011-01-05 18:00:00	1.2690702	0	0
"MC 051"	"Milw Corridor Study USGS"	"34611 - 34610"	"16th St."	TRUE	"MC 051"	"2/16/2011 17:17"	"2/20/2011 9:21"	"16-Feb-11"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	7.75	0	0	0	0	0	0	0	0	0	0	0	0	2011-02-16 17:17:00	1	2011-02-16	2.29404856955742	7.75	0	0	7.75	7.75	"Feb"	0	0	0	0	0	"2/16/2011 14:00"	"2/20/2011 10:05"	1279.6266	1644.856	"MC 051"	TRUE	"Mix"	2011-02-16 14:00:00	2011-02-20 10:05:00	122515691.7177	1644.856	92.0833333333333	2011-02-16 13:00:00	2011-02-20 10:00:00	0	7958646461.25364	2074289756.41724
"MC 053"	"Milw Corridor Study USGS"	"34597 - 34596"	"16th St."	FALSE	"MC 053"	"2/28/2011 11:13"	"3/1/2011 9:40"	"28-Feb-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	2.39	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-02-28 11:13:00	1	2011-02-28	0	2.39	0	0	2.39	2.39	"Feb"	0	0	0	0	0	"2/28/2011 11:13"	"3/1/2011 9:40"	NA	NA	NA	NA	NA	2011-02-28 11:13:00	2011-03-01 09:40:00	680344.9338	1053.603	22.45	2011-02-27 23:00:00	2011-02-28 01:00:00	0.130270123	0	0
"MC 054"	"Milw Corridor Study USGS"	"34621 - 34620"	"16th St."	FALSE	"MC 054"	"3/9/2011 6:32"	"3/10/2011 16:32"	"9-Mar-11"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	34.18	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-09 06:32:00	2	2011-03-09	0	34.18	0	0	34.18	34.18	"Mar"	0	0	0	0	0	"3/9/2011 2:00"	"3/10/2011 20:00"	267.7072	1321.339	"MC 054"	FALSE	"Mix"	2011-03-09 02:00:00	2011-03-10 20:00:00	23130300.466725	1321.339	42	2011-03-08 23:00:00	2011-03-09 20:00:00	17.909580986	0	0
"MC 055"	"Milw Corridor Study USGS"	"34633 - 34632"	"16th St."	FALSE	"MC 055"	"3/14/2011 12:04"	"3/17/2011 8:04"	"14-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-14 12:04:00	2	2011-03-14	0	0.41	0	0	0.41	0.41	"Mar"	0	0	0	0	0	"3/14/2011 12:00"	"3/17/2011 8:30"	781.5692	1442.281	"MC 055"	FALSE	"Snowmelt"	2011-03-14 12:00:00	2011-03-17 08:30:00	67509103.88775	1442.281	68.5	2011-03-17 00:00:00	2011-03-17 01:00:00	7.4538e-06	0	0
"MC 056"	"Milw Corridor Study USGS"	"34647 - 34646"	"16th St."	FALSE	"MC 056"	"3/17/2011 14:07"	"3/20/2011 6:39"	"17-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.34	0	0	0	0	0	0	0	2011-03-17 14:07:00	2	2011-03-17	0	0	0	14.34	0	14.34	"Mar"	1	0	0	0	0	"3/17/2011 5:00"	"3/20/2011 7:00"	1659.6239	1823.469	"MC 056"	FALSE	"Snowmelt"	2011-03-17 05:00:00	2011-03-20 07:00:00	143407085.6112	1823.469	74	2011-03-17 00:00:00	2011-03-20 01:00:00	0.5049062638	0	0
"MC 057"	"Milw Corridor Study USGS"	"34649 - 34648"	"16th St."	FALSE	"MC 057"	"3/20/2011 7:18"	"3/21/2011 8:28"	"20-Mar-11"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	2.54	0	0	0	0	0.43	0	0	0	0	0	0	0	2011-03-20 07:18:00	2	2011-03-20	0	2.54	0	0.43	2.54	2.97	"Mar"	1	0	0	0	0	"3/20/2011 7:10"	"3/21/2011 23:00"	1800.4166	3380.9871	"MC 057"	FALSE	"Rainfall"	2011-03-20 07:10:00	2011-03-21 23:00:00	155603222.09475	3380.987	39.8333333333333	2011-03-19 23:00:00	2011-03-20 22:00:00	40.240892539	0	0
"MC 058"	"Milw Corridor Study USGS"	"34659 - 34658"	"16th St."	FALSE	"MC 058"	"3/22/2011 14:10"	"3/24/2011 7:47"	"22-Mar-11"	"Event"	"Rainfall "	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-22 14:10:00	2	2011-03-22	0.46	0	0	0	0.46	0.46	"Mar"	0	0	1	0	0	"3/22/2011 11:00"	"3/24/2011 16:00"	2905.0681	3873.5659	"MC 058"	FALSE	"Rainfall"	2011-03-22 11:00:00	2011-03-24 16:00:00	251008687.2195	3873.566	53	2011-03-22 05:00:00	2011-03-24 03:00:00	14.81120605	3269576265.05679	1480562837.00685
"MC 059"	"Milw Corridor Study USGS"	"34677 - 34676"	"16th St."	FALSE	"MC 059"	"3/29/2011 9:07"	"3/30/2011 13:06"	"29-Mar-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-29 09:07:00	2	2011-03-29	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"3/29/2011 9:07"	"3/30/2011 13:06"	NA	NA	NA	NA	NA	2011-03-29 09:07:00	2011-03-30 13:06:00	19431704.1624	810.6733	27.9833333333333	2011-03-29 09:00:00	2011-03-30 13:00:00	0	0	0
