Date	Total Discharge (cfs)	Baseflow (cfs)	Stormflow (cfs)
6/9/2011	485.43	123	362.43
6/10/2011	283	123	160
6/11/2011	167	123	44
6/12/2011	123	123	0
6/13/2011	97	75	22
6/14/2011	75	75	0
6/15/2011	131	75	56
6/16/2011	171	75	96
6/17/2011	91	75	16
6/18/2011	64	64	0
6/19/2011	146	64	82
6/20/2011	306.06	64	242.06
6/21/2011	1137.67	64	1073.67
6/22/2011	1471.19	64	1407.19
6/23/2011	594.27	138	456.27
6/24/2011	410.37	138	272.37
6/25/2011	231.93	138	93.93
6/26/2011	196.22	138	58.22
6/27/2011	138	138	0
6/28/2011	106	49	57
6/29/2011	83	49	34
6/30/2011	65	49	16
7/1/2011	55	49	6
7/2/2011	49	49	0
7/3/2011	43	27	16
7/4/2011	37	27	10
7/5/2011	33	27	6
7/6/2011	30	27	3
7/7/2011	27	27	0
7/8/2011	27	24	3
7/9/2011	25	24	1
7/10/2011	24	24	0
7/11/2011	152	24	128
7/12/2011	51	24	27
7/13/2011	28	20	8
7/14/2011	25	20	5
7/15/2011	23	20	3
7/16/2011	23	20	3
7/17/2011	20	20	0
7/18/2011	21	21	0
7/19/2011	21	21	0
7/20/2011	55	21	34
7/21/2011	27	21	6
7/22/2011	70	21	49
7/23/2011	68	21	47
7/24/2011	40	21	19
7/25/2011	27	21	6
7/26/2011	21	21	0
7/27/2011	410.76	21	389.76
7/28/2011	721.25	97	624.25
7/29/2011	398.94	97	301.94
7/30/2011	289.09	97	192.09
7/31/2011	163	97	66
8/1/2011	97	97	0
8/2/2011	82	33	49
8/3/2011	83	33	50
8/4/2011	46	33	13
8/5/2011	38	33	5
8/6/2011	33	33	0
8/7/2011	140	27	113
8/8/2011	61	27	34
8/9/2011	43	27	16
8/10/2011	31	27	4
8/11/2011	27	27	0
8/12/2011	24	24	0
8/13/2011	81	24	57
8/14/2011	94	24	70
8/15/2011	44	24	20
8/16/2011	34	24	10
8/17/2011	26	20	6
8/18/2011	23	20	3
8/19/2011	20	20	0
8/20/2011	25	20	5
8/21/2011	24	20	4
8/22/2011	19	17	2
8/23/2011	34	17	17
8/24/2011	25	17	8
8/25/2011	19	17	2
8/26/2011	17	17	0
8/27/2011	18	13	5
8/28/2011	15	13	2
8/29/2011	13	13	0
8/30/2011	14	13	1
8/31/2011	20	13	7
9/1/2011	18	15	3
9/2/2011	15	15	0
9/3/2011	180	15	165
9/4/2011	59	15	44
9/5/2011	25	15	10
9/6/2011	20	13	7
9/7/2011	17	13	4
9/8/2011	14	13	1
9/9/2011	13	13	0
9/10/2011	13	13	0
9/11/2011	12	10	2
9/12/2011	13	10	3
9/13/2011	12	10	2
9/14/2011	12	10	2
9/15/2011	10	10	0
9/16/2011	10	10	0
9/17/2011	10	10	0
9/18/2011	53	10	43
9/19/2011	190	10	180
9/20/2011	40	10	30
9/21/2011	26	18	8
9/22/2011	20	18	2
9/23/2011	18	18	0
9/24/2011	123	18	105
9/25/2011	306.07	18	288.07
9/26/2011	560.13	283.41	276.72
9/27/2011	283.41	283.41	0
9/28/2011	514.05	283.41	230.64
9/29/2011	306.84	283.41	23.43
9/30/2011	308.67	283.41	25.26
