"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"LD 015"	"33552 - 33553"	8670	"Donges Bay"	"LD"	FALSE	"LD 015"	"11/17/2009 17:36"	"11/18/2009 15:15"	"11/17/2009 23:36"	"11/18/2009 21:15"	"17-Nov-09"	"21-Nov-09"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	0.19	9.54	0	9.73	60	50	57795	2440	NA	968	NA	638	"11/17/2009 17:36"	"11/18/2009 15:15"	NA	NA	NA	NA	NA	2009-11-17 23:36:00	2009-11-17	2009-11-17 23:36:00	2009-11-18 21:15:00	177261.63372	2.512238	21.65	2009-11-18 16:00:00	2009-11-18 20:00:00	1.93827687	0.953703192852342	47.8859392621649	0	48.8396424550173	301.169429321792	250.974524434827	290101.452794216	12247.5567924195	4858.86679305825	3202.43493178839
"LD 016"	"33575 - 33576"	NA	"Donges Bay"	"LD"	FALSE	"LD 016"	"12/25/2009 7:33"	"12/27/2009 16:50"	"12/25/2009 13:33"	"12/27/2009 22:50"	"25-Dec-09"	NA	"Dec"	"Event"	"Mix"	"Mix"	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009 17:30"	"12/27/2009 20:00"	147.9801	99.5508	"LD 016"	FALSE	"Mix"	2009-12-25 13:33:00	2009-12-25	2009-12-24 23:30:00	2009-12-28 02:00:00	12787829.295	99.55077	74.5	2009-12-23 23:00:00	2009-12-26 23:00:00	49.816436496	0	0	0	0	NA	NA	NA	NA	NA	NA
"LD 017"	"33590 - 33591"	8699	"Donges Bay"	"LD"	FALSE	"LD 017"	"1/20/2010 10:36"	"1/21/2010 9:34"	"1/20/2010 16:36"	"1/21/2010 15:34"	"20-Jan-10"	"23-Jan-10"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	14	33	85807	3246	NA	3851	NA	3169	"1/20/2010 10:36"	"1/21/2010 9:34"	NA	NA	NA	NA	NA	2010-01-20 16:36:00	2010-01-20	2010-01-20 16:36:00	2010-01-21 15:34:00	206416.32892	2.512238	22.9666666666667	2010-01-20 16:00:00	2010-01-21 15:00:00	0	0	0	0	0	81.8308332815603	192.886964163678	501547.022242203	18973.0632022818	22509.3242119492	18522.9936192332
"LD 018"	"33602 - 33603"	8702	"Donges Bay"	"LD"	FALSE	"LD 018"	"1/24/2010 4:39"	"1/26/2010 9:23"	"1/24/2010 10:39"	"1/26/2010 15:23"	"24-Jan-10"	"28-Jan-10"	"Jan"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	210	460	1006809	214532	NA	6037	NA	4236	"1/23/2010 15:45"	"1/26/2010 13:30"	81.6969	53.7901	"LD 018"	FALSE	"Mix"	2010-01-24 10:39:00	2010-01-24	2010-01-23 21:45:00	2010-01-26 19:30:00	7058605.7754	53.79012	69.75	2010-01-24 09:00:00	2010-01-24 16:00:00	8.3392186	0	0	0	0	41974.2659480355	91943.6301718872	201238422.499408	42880110.5826855	1206660.20727757	846680.907408944
"LD 019"	"33620 - 33621"	8717	"Donges Bay"	"LD"	FALSE	"LD 019"	"3/1/2010 8:55"	"3/2/2010 9:09"	"3/1/2010 14:55"	"3/2/2010 15:09"	"1-Mar-10"	"4-Mar-10"	"Mar"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	4.01	0	4.01	8	31	93381	7983	NA	971	NA	1843	"3/1/2010 8:55"	"3/2/2010 9:09"	NA	NA	NA	NA	NA	2010-03-01 14:55:00	2010-03-01	2010-03-01 14:55:00	2010-03-02 15:09:00	255990.86778	3.469995	24.2333333333333	2010-03-01 14:00:00	2010-03-02 15:00:00	0	0	29.0679050688357	0	29.0679050688357	57.9908330550337	224.714478088256	676905.247689013	57867.6025347918	7038.63736205472	13359.6381650534
"LD 020"	"33666 - 33667"	8748	"Donges Bay"	"LD"	FALSE	"LD 020"	"3/9/2010 17:06"	"3/15/2010 9:00"	"3/9/2010 23:06"	"3/15/2010 15:00"	"9-Mar-10"	"17-Mar-10"	"Mar"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	170	3	240564	16889	NA	1133	"BLD1:1"	60	"3/9/2010 13:35"	"3/17/2010 8:00"	350.6988	100.3126	"LD 020"	FALSE	"Mix"	2010-03-09 23:06:00	2010-03-09	2010-03-09 19:35:00	2010-03-17 13:00:00	30098648.03565	100.3126	185.416666666667	2010-03-10 00:00:00	2010-03-13 13:00:00	9.952898155	0	0	0	0	144890.795838858	2556.89639715631	205032408.29517	14394474.417191	965654.539326033	51137.9279431262
"LD 022"	"33688 - 33689"	8798	"Donges Bay"	"LD"	FALSE	"LD 022"	"4/6/2010 1:22"	"4/7/2010 12:22"	"4/6/2010 7:22"	"4/7/2010 18:22"	"6-Apr-10"	"10-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	2670	1070	655920	48771	NA	7334	NA	11294	"4/5/2010 22:15"	"4/7/2010 15:00"	32.5006	26.742	"LD 022"	FALSE	"Rainfall"	2010-04-06 07:22:00	2010-04-06	2010-04-06 03:15:00	2010-04-07 20:00:00	2812745.19105	26.74198	40.75	2010-04-05 23:00:00	2010-04-07 14:00:00	27.836228783	0	0	0	0	212660.357786521	85223.439262763	52242764.7488145	3884516.22082637	584138.975283275	899545.348629575
"LD 023"	"33696 - 33697"	8853	"Donges Bay"	"LD"	FALSE	"LD 023"	"4/25/2010 0:19"	"4/26/2010 7:59"	"4/25/2010 6:19"	"4/26/2010 13:59"	"25-Apr-10"	"28-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	3300	2700	2001618	151056	NA	3993	NA	5011	"4/25/2010 0:15"	"4/26/2010 23:00"	132.8068	148.7883	"LD 023"	FALSE	"Rainfall"	2010-04-25 06:19:00	2010-04-25	2010-04-25 05:15:00	2010-04-27 04:00:00	11474548.389	148.7883	46.75	2010-04-24 02:00:00	2010-04-26 03:00:00	43.015221465	0	0	0	0	1072245.98726452	877292.171398243	650371778.344374	49081572.6824937	1297417.64459007	1628189.28550985
"LD 024"	"33712 - 33713"	8947	"Donges Bay"	"LD"	FALSE	"LD 024"	"5/11/2010 5:41"	"5/11/2010 20:18"	"5/11/2010 11:41"	"5/12/2010 2:18"	"11-May-10"	"14-May-10"	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	1400	1800	1198840	71619	NA	14841	NA	24442	"5/11/2010 4:45"	"5/12/2010 18:00"	33.813	29.9647	"LD 024"	FALSE	"Rainfall"	2010-05-11 11:41:00	2010-05-11	2010-05-11 09:45:00	2010-05-12 23:00:00	2921445.9771	29.9647	37.25	2010-05-11 03:00:00	2010-05-12 04:00:00	40.539278429	0	0	0	0	115816.592584499	148907.047608641	99175402.7528575	5924763.24593516	1227738.60753325	2021992.25425023
"LD 025"	"33922 - 33921"	8969	"Donges Bay"	"LD"	FALSE	"LD 025"	"5/18/2010 7:22"	"5/19/2010 7:17"	"5/18/2010 13:22"	"5/19/2010 13:17"	"18-May-10"	"21-May-10"	"May"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	144.37	0	144.37	60	100	143602	3846	NA	1786	NA	3508	"5/18/2010 7:22"	"5/19/2010 7:17"	NA	NA	NA	NA	NA	2010-05-18 13:22:00	2010-05-18	2010-05-18 12:22:00	2010-05-19 12:17:00	1092057.52686	14.06679	23.9166666666667	2010-05-19 02:00:00	2010-05-19 03:00:00	0.103711665	0	4464.44380733299	0	4464.44380733299	1855.41752746401	3092.36254577335	4440694.46298145	118932.263510443	55229.5950675121	108480.078105729
