"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"bpdate"	"epdate"	"Braindate"	"Eraindate"	"depth"
"MF 013"	"Milw Corridor Study USGS"	"33550 - 33551"	"Meno Falls"	FALSE	"MF 013"	"11/17/2009 17:30"	"11/18/2009 14:38"	"17-Nov-09"	"Baseflow"	"Baseflow"	14.35	30.14	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-11-17 17:30:00	10	2009-11-17	44.49	NA	NA	NA	NA	NA	"Nov"	NA	NA	1	1	0	2009-11-17 17:30:00	2009-11-18 14:38:00	2009-11-18 13:00:00	2009-11-18 14:00:00	1.1735746
"MF 014"	"Milw Corridor Study USGS"	"33573 - 33574"	"Meno Falls"	FALSE	"MF 014"	"12/24/2009 23:28"	"12/27/2009 17:29"	"24-Dec-09"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-12-24 23:28:00	11	2009-12-24	0	NA	NA	NA	NA	NA	"Dec"	NA	NA	0	0	0	2009-12-24 23:28:00	2009-12-27 17:29:00	2009-12-24 13:00:00	2009-12-26 19:00:00	39.67978064
"MF 015"	"Milw Corridor Study USGS"	"33592 - 33593"	"Meno Falls"	FALSE	"MF 015"	"1/20/2010 9:47"	"1/21/2010 4:24"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-01-20 09:47:00	0	2010-01-20	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	2010-01-20 09:47:00	2010-01-21 04:24:00	2010-01-20 09:00:00	2010-01-21 04:00:00	0
"MF 016"	"Milw Corridor Study USGS"	"33600 - 33601"	"Meno Falls"	FALSE	"MF 016"	"1/24/2010 7:13"	"1/26/2010 9:06"	"24-Jan-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-01-24 07:13:00	0	2010-01-24	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	2010-01-24 07:13:00	2010-01-26 09:06:00	2010-01-24 04:00:00	2010-01-24 12:00:00	7.341789085
"MF 017"	"Milw Corridor Study USGS"	"33622 - 33623"	"Meno Falls"	FALSE	"MF 017"	"3/1/2010 8:59"	"3/2/2010 1:51"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-01 08:59:00	2	2010-03-01	331.74	0	0	0	331.74	331.74	"Mar"	0	0	0	1	0	2010-03-01 08:59:00	2010-03-02 01:51:00	2010-03-01 08:00:00	2010-03-02 01:00:00	0
"MF 018"	"Milw Corridor Study USGS"	"33660 - 33661"	"Meno Falls"	FALSE	"MF 018"	"3/9/2010 17:03"	"3/14/2010 14:31"	"9-Mar-10"	"Event"	"Mix"	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-09 17:03:00	2	2010-03-09	37.12	0	0	0	37.12	37.12	"Mar"	0	0	0	1	0	2010-03-09 17:03:00	2010-03-14 14:31:00	2010-03-13 07:00:00	2010-03-13 08:00:00	0.934750242
"MF 020"	"Milw Corridor Study USGS"	"33690 - 33691"	"Meno Falls"	FALSE	"MF 020"	"4/6/2010 22:43"	"4/8/2010 13:47"	"6-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-06 22:43:00	3	2010-04-06	0	0	0	0	0	0	"Apr"	0	0	0	0	0	2010-04-06 22:43:00	2010-04-08 13:47:00	2010-04-06 21:00:00	2010-04-08 10:00:00	12.316610499
"MF 021"	"Milw Corridor Study USGS"	"33698 - 33699"	"Meno Falls"	FALSE	"MF 021"	"4/24/2010 23:07"	"4/26/2010 7:39"	"24-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-24 23:07:00	3	2010-04-24	0	0	0	0	0	0	"Apr"	0	0	0	0	0	2010-04-24 23:07:00	2010-04-26 07:39:00	2010-04-24 22:00:00	2010-04-25 22:00:00	26.57409782
"MF 022"	"Milw Corridor Study USGS"	"33953 - 33952"	"Meno Falls"	FALSE	"MF 022"	"5/18/2010 11:04"	"5/19/2010 11:53"	"18-May-10"	"Baseflow"	"Baseflow"	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-18 11:04:00	4	2010-05-18	0.11	0	0	0	0.11	0.11	"May"	0	0	0	1	0	2010-05-18 11:04:00	2010-05-19 11:53:00	2010-05-18 22:00:00	2010-05-18 23:00:00	0.3287627
"MF 023"	"Milw Corridor Study USGS"	"33955 - 33954"	"Meno Falls"	FALSE	"MF 023"	"6/15/2010 15:14"	"6/16/2010 10:21"	"15-Jun-10"	"Event"	"Rainfall "	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-06-15 15:14:00	5	2010-06-15	2.69	0	0	0	2.69	2.69	"Jun"	0	0	0	1	0	2010-06-15 15:14:00	2010-06-16 10:21:00	2010-06-15 11:00:00	2010-06-15 21:00:00	9.374606914
"MF 025"	"Milw Corridor Study USGS"	"33958 - 33957"	"Meno Falls"	FALSE	"MF 025"	"7/13/2010 8:29"	"7/14/2010 5:57"	"13-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-13 08:29:00	6	2010-07-13	0	0.21	0	0	0.21	0.21	"Jul"	0	0	0	0	0	2010-07-13 08:29:00	2010-07-14 05:57:00	2010-07-13 08:00:00	2010-07-14 05:00:00	0
"MF 026"	"Milw Corridor Study USGS"	"34570 - 34569"	"Meno Falls"	FALSE	"MF 026"	"7/15/2010 7:07"	"7/16/2010 7:19"	"15-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-15 07:07:00	6	2010-07-15	0	0	0	0	0	0	"Jul"	0	0	0	0	0	2010-07-15 07:07:00	2010-07-16 07:19:00	2010-07-14 20:00:00	2010-07-15 09:00:00	69.2801584
"MF 027"	"Milw Corridor Study USGS"	"33960 - 33959"	"Meno Falls"	TRUE	"MF 027"	"7/22/2010 16:27"	"7/23/2010 12:05"	"22-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0.1	0.08	0.11	0	0	0	0	0	0	0	0	0	0	0	2010-07-22 16:27:00	6	2010-07-22	0	0.29	0	0	0.29	0.29	"Jul"	0	0	0	0	0	2010-07-22 16:27:00	2010-07-23 12:05:00	2010-07-22 08:00:00	2010-07-23 10:00:00	59.41315821
"MF 028"	"Milw Corridor Study USGS"	"33962 - 33961"	"Meno Falls"	TRUE	"MF 027"	"7/23/2010 13:05"	"7/26/2010 0:12"	"23-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-23 13:05:00	6	2010-07-23	0	0.12	0	0	0.12	0.12	"Jul"	0	0	0	0	0	2010-07-23 13:05:00	2010-07-26 00:12:00	2010-07-22 08:00:00	2010-07-24 08:00:00	87.429698365
"MF 031"	"Milw Corridor Study USGS"	"34063 - 34062"	"Meno Falls"	FALSE	"MF 031"	"9/1/2010 2:01"	"9/1/2010 14:08"	"1-Sep-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-01 02:01:00	8	2010-09-01	0	0	0	0	0	0	"Sep"	0	0	0	0	0	2010-09-01 02:01:00	2010-09-01 14:08:00	2010-08-31 23:00:00	2010-09-01 09:00:00	12.525591188
"MF 032"	"Milw Corridor Study USGS"	"34127 - 34126"	"Meno Falls"	FALSE	"MF 032"	"9/13/2010 8:49"	"9/14/2010 7:52"	"13-Sep-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-13 08:49:00	8	2010-09-13	0	0	0	0	0	0	"Sep"	0	0	0	0	0	2010-09-13 08:49:00	2010-09-14 07:52:00	2010-09-13 08:00:00	2010-09-14 07:00:00	0
"MF 033"	"Milw Corridor Study USGS"	"34077 - 34076"	"Meno Falls"	FALSE	"MF 033"	"10/23/2010 16:59"	"10/24/2010 17:11"	"23-Oct-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-23 16:59:00	9	2010-10-23	0	0	0	0	0	0	"Oct"	0	0	0	0	0	2010-10-23 16:59:00	2010-10-24 17:11:00	2010-10-23 07:00:00	2010-10-24 12:00:00	29.455053358
"MF 034"	"Milw Corridor Study USGS"	"34085 - 34084"	"Meno Falls"	FALSE	"MF 034"	"10/26/2010 8:37"	"10/26/2010 22:50"	"26-Oct-10"	"Event"	"Rainfall "	0	0	0	48.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-26 08:37:00	9	2010-10-26	48.97	0	0	0	48.97	48.97	"Oct"	0	0	0	0	1	2010-10-26 08:37:00	2010-10-26 22:50:00	2010-10-26 01:00:00	2010-10-26 15:00:00	11.066385617
"MF 035"	"Milw Corridor Study USGS"	"34093 - 34092"	"Meno Falls"	FALSE	"MF 035"	"11/10/2010 9:14"	"11/11/2010 8:01"	"10-Nov-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-10 09:14:00	10	2010-11-10	0	0	0	0	0	0	"Nov"	0	0	0	0	0	2010-11-10 09:14:00	2010-11-11 08:01:00	2010-11-10 09:00:00	2010-11-11 08:00:00	0
"MF 036"	"Milw Corridor Study USGS"	"34111 - 34110"	"Meno Falls"	FALSE	"MF 036"	"11/22/2010 7:38"	"11/23/2010 7:49"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-22 07:38:00	10	2010-11-22	0.09	0	0	0	0.09	0.09	"Nov"	0	0	0	0	1	2010-11-22 07:38:00	2010-11-23 07:49:00	2010-11-22 03:00:00	2010-11-22 18:00:00	8.41915172
"MF 037"	"Milw Corridor Study USGS"	"34556 - 34555"	"Meno Falls"	FALSE	"MF 037"	"1/5/2011 10:48"	"1/6/2011 8:23"	"5-Jan-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-01-05 10:48:00	0	2011-01-05	0	0	0	0	0	0	"Jan"	0	0	0	0	0	2011-01-05 10:48:00	2011-01-06 08:23:00	2011-01-05 17:00:00	2011-01-05 18:00:00	1.3080597
"MF 038"	"Milw Corridor Study USGS"	"34605 - 34604"	"Meno Falls"	FALSE	"MF 038"	"2/16/2011 14:24"	"2/20/2011 8:10"	"16-Feb-11"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-02-16 14:24:00	1	2011-02-16	0	0	0	0	0	0	"Feb"	0	0	0	0	0	2011-02-16 14:24:00	2011-02-20 08:10:00	2011-02-16 14:00:00	2011-02-20 08:00:00	0
"MF 039"	"Milw Corridor Study USGS"	"34595 - 34594"	"Meno Falls"	FALSE	"MF 039"	"2/28/2011 9:31"	"3/1/2011 12:46"	"28-Feb-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-02-28 09:31:00	1	2011-02-28	0	0	0	0	0	0	"Feb"	0	0	0	0	0	2011-02-28 09:31:00	2011-03-01 12:46:00	2011-02-28 09:00:00	2011-03-01 12:00:00	0
"MF 040"	"Milw Corridor Study USGS"	"34615 - 34614"	"Meno Falls"	FALSE	"MF 040"	"3/9/2011 5:29"	"3/10/2011 9:27"	"9-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	8.24	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-09 05:29:00	2	2011-03-09	0	8.24	0	0	8.24	8.24	"Mar"	0	0	0	0	0	2011-03-09 05:29:00	2011-03-10 09:27:00	2011-03-08 23:00:00	2011-03-09 20:00:00	16.739898434
"MF 041"	"Milw Corridor Study USGS"	"34627 - 34626"	"Meno Falls"	TRUE	"MF 041"	"3/14/2011 11:28"	"3/17/2011 7:38"	"14-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-14 11:28:00	2	2011-03-14	0	0	0	0	0	0	"Mar"	0	0	0	0	0	2011-03-14 11:28:00	2011-03-17 07:38:00	2011-03-14 11:00:00	2011-03-17 07:00:00	0
"MF 042"	"Milw Corridor Study USGS"	"34637 - 34636"	"Meno Falls"	TRUE	"MF 041"	"3/17/2011 11:28"	"3/20/2011 6:45"	"17-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	0	5.71	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-17 11:28:00	2	2011-03-17	0	5.71	0	0	5.71	5.71	"Mar"	0	0	0	0	0	2011-03-17 11:28:00	2011-03-20 06:45:00	2011-03-20 00:00:00	2011-03-20 01:00:00	0.57215855
"MF 043"	"Milw Corridor Study USGS"	"34639 - 34638"	"Meno Falls"	TRUE	"MF 043"	"3/20/2011 7:19"	"3/21/2011 7:45"	"20-Mar-11"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-20 07:19:00	2	2011-03-20	0	16.7	0	0	16.7	16.7	"Mar"	0	0	0	0	0	2011-03-20 07:19:00	2011-03-21 07:45:00	2011-03-20 21:00:00	2011-03-20 22:00:00	6.80023428
"MF 044"	"Milw Corridor Study USGS"	"34653 - 34652"	"Meno Falls"	TRUE	"MF 043"	"3/22/2011 19:07"	"3/24/2011 7:45"	"22-Mar-11"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-22 19:07:00	2	2011-03-22	0	0	0	0	0	0	"Mar"	0	0	0	0	0	2011-03-22 19:07:00	2011-03-24 07:45:00	2011-03-22 05:00:00	2011-03-23 03:00:00	12.963892203
"MF 045"	"Milw Corridor Study USGS"	"34665 - 34664"	"Meno Falls"	FALSE	"MF 045"	"3/29/2011 7:35"	"3/30/2011 9:02"	"29-Mar-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011-03-29 07:35:00	2	2011-03-29	0	0	0	0	0	0	"Mar"	0	0	0	0	0	2011-03-29 07:35:00	2011-03-30 09:02:00	2011-03-29 07:00:00	2011-03-30 09:00:00	0
