Study Name	LIDE Sample ID	Study Sample ID	Collection Start Date	Sample Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	33386 - 33387	MW 005	8-Jun-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33399 - 33400	MW 006	15-Jun-09	Baseflow	0	5.74	0	0.94	0	0	0	0														
Milw Corridor Study USGS	33445 - 33446	MW 009	11-Aug-09	Baseflow	43.46	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33460 - 33461	MW 011	14-Sep-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33472 - 33473	MW 012	22-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33482 - 33483	MW 013	27-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33492 - 33493	MW 014	1-Oct-09	Event	1.73	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33532 - 33533	MW 015	22-Oct-09	Event	9.53	33.06	0	0.65	0	0	0	0														
Milw Corridor Study USGS	33554 - 33555	MW 016	18-Nov-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33577 - 33578	MW 017	24-Dec-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33594 - 33595	MW 018	20-Jan-10	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33606 - 33607	MW 019	22-Jan-10	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33612 - 33613	MW 020	1-Mar-10	Baseflow	0	0	0	307.78	0	0	0	0	49.14	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33664 - 33665	MW 021	9-Mar-10	Event	0	11.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.44	0	0
Milw Corridor Study USGS	33686 - 33687	MW 023	5-Apr-10	Event	41.32	0	0	0	0	0	0	0	40.36	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33700 - 33701	MW 024	24-Apr-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33714 - 33715	MW 025	11-May-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33967 - 33966	MW 026	12-May-10	Event	0.05	0.05	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33969 - 33968	MW 027	18-May-10	Baseflow	0	0	0	379.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33971 - 33970	MW 032	2-Jun-10	Event	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33973 - 33972	MW 033	15-Jun-10	Event	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33976 - 33975	MW 036	13-Jul-10	Baseflow	5.16	0	0	0	0	0	0	0	0	0	0	0	0	0	16.64	0	0	0	0	0	0	0
Milw Corridor Study USGS	34566 - 34565	MW 037	15-Jul-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33978 - 33977	MW 038	22-Jul-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33980 - 33979	MW 039	23-Jul-10	Event	0.05	0	0	179.19	0	0	0	0	0	0	0	0	0	0	16.99	0	0	0	0	0	0	0
Milw Corridor Study USGS	33982 - 33981	MW 040	4-Aug-10	Baseflow	0	0	0	5.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34121 - 34120	MW 042	13-Sep-10	Baseflow	0	0	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33618 - 33619	UW 001	1-Mar-10	Baseflow	0	0	0	0	0	0	0	0	13.61	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33668 - 33669	UW 002	11-Mar-10	Event	6.82	0	0	0	0	0	0	0	12.46	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33692 - 33693	UW 004	7-Apr-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33702 - 33703	UW 005	25-Apr-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33710 - 33711	UW 006	11-May-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33987 - 33986	UW 007	18-May-10	Baseflow	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33990 - 33989	UW 013	13-Jul-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.85	0	0	0	0	0	0	0
Milw Corridor Study USGS	34572 - 34571	UW 014	15-Jul-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33992 - 33991	UW 015	22-Jul-10	Event	0.24	0.24	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33994 - 33993	UW 016	23-Jul-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33999 - 33998	UW 019	20-Aug-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34065 - 34064	UW 020	1-Sep-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34123 - 34122	UW 021	13-Sep-10	Baseflow	0	1.55	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34073 - 34072	UW 022	13-Oct-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34079 - 34078	UW 023	23-Oct-10	Event	0	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34087 - 34086	UW 024	26-Oct-10	Event	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34095 - 34094	UW 025	10-Nov-10	Baseflow	0	7.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34113 - 34112	UW 026	22-Nov-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34129 - 34128	UW 027	29-Nov-10	Event	0	0	0	0	0	0	0	0	20.55	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34327 - 34326	UW 028	11-Dec-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34329 - 34328	UW 029	19-Dec-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34560 - 34559	UW 030	5-Jan-11	Baseflow	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34589 - 34588	UW 031	28-Feb-11	Baseflow	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34617 - 34616	UW 032	9-Mar-11	Event	0	0	0	130.72	0	0	0	0	0	12.77	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34629 - 34628	UW 033	14-Mar-11	Event	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34641 - 34640	UW 034	17-Mar-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34643 - 34642	UW 035	20-Mar-11	Event	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34655 - 34654	UW 036	22-Mar-11	Event	0	0	0	0	0	0	0	0	4.46	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34669 - 34668	UW 037	29-Mar-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
