Study Name	LIDE Sample ID	Study Sample ID	Collection Start Date	Sample Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	34645 - 34644	HW 048	17-Mar-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34657 - 34656	HW 049	22-Mar-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34673 - 34672	HW 050	29-Mar-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33301 - 33302	LD 001	7-Apr-09	Baseflow	0	12.53	0	9.13	0	0	0	0														
Milw Corridor Study USGS	33308 - 33309	LD 002	20-Apr-09	Event	0	0	0	16.63	0	0	0	0														
Milw Corridor Study USGS	33388 - 33389	LD 004	8-Jun-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33395 - 33396	LD 005	15-Jun-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33441 - 33442	LD 007	11-Aug-09	Baseflow		0	0	0		0	0	0														
Milw Corridor Study USGS	33458 - 33459	LD 009	14-Sep-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33470 - 33471	LD 010	22-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33480 - 33481	LD 011	27-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33490 - 33491	LD 012	1-Oct-09	Event	0.11	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33526 - 33527	LD 013	22-Oct-09	Event	0.63	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33536 - 33537	LD 014	24-Oct-09	Event	0	5.92	0	0	0	0	0	0														
Milw Corridor Study USGS	33552 - 33553	LD 015	17-Nov-09	Baseflow	0.19	9.54	0	0	0	0	0	0														
Milw Corridor Study USGS	33575 - 33576	LD 016	25-Dec-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33590 - 33591	LD 017	20-Jan-10	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33602 - 33603	LD 018	24-Jan-10	Event	0	0	0	0	0	0	0	0														
