Study Name	LIDE Sample ID	Site Name	Study Sample ID	Sample Combining needed?	USGS_ID	Collection Start Date	Sample Type	Event Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	34558 - 34557	Honey	HW 043			5-Jan-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34607 - 34606	Honey	HW 044			16-Feb-11	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34591 - 34590	Honey	HW 045			28-Feb-11	Baseflow	Baseflow	0.02	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34619 - 34618	Honey	HW 046			9-Mar-11	Event	Snowmelt	0	0	0	5.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34631 - 34630	Honey	HW 047			14-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34645 - 34644	Honey	HW 048			17-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34657 - 34656	Honey	HW 049			22-Mar-11	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34673 - 34672	Honey	HW 050			29-Mar-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33301 - 33302	Donges Bay	LD 001			7-Apr-09	Baseflow	Baseflow	0	12.53	0	9.13	0	0	0	0														
Milw Corridor Study USGS	33308 - 33309	Donges Bay	LD 002			20-Apr-09	Event	Rainfall 	0	0	0	16.63	0	0	0	0														
Milw Corridor Study USGS	33388 - 33389	Donges Bay	LD 004			8-Jun-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33395 - 33396	Donges Bay	LD 005			15-Jun-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33441 - 33442	Donges Bay	LD 007			11-Aug-09	Baseflow	Baseflow		0	0	0		0	0	0														
Milw Corridor Study USGS	33458 - 33459	Donges Bay	LD 009			14-Sep-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33470 - 33471	Donges Bay	LD 010			22-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33480 - 33481	Donges Bay	LD 011			27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33490 - 33491	Donges Bay	LD 012			1-Oct-09	Event	Rainfall 	0.11	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33526 - 33527	Donges Bay	LD 013			22-Oct-09	Event	Rainfall 	0.63	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33536 - 33537	Donges Bay	LD 014			24-Oct-09	Event	Rainfall 	0	5.92	0	0	0	0	0	0														
Milw Corridor Study USGS	33552 - 33553	Donges Bay	LD 015			17-Nov-09	Baseflow	Baseflow	0.19	9.54	0	0	0	0	0	0														
Milw Corridor Study USGS	33575 - 33576	Donges Bay	LD 016			25-Dec-09	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33590 - 33591	Donges Bay	LD 017			20-Jan-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33602 - 33603	Donges Bay	LD 018			24-Jan-10	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33620 - 33621	Donges Bay	LD 019			1-Mar-10	Baseflow	Baseflow	0	4.01	0	0	0	0	0	0	85.3	334.06	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33666 - 33667	Donges Bay	LD 020			9-Mar-10	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33688 - 33689	Donges Bay	LD 022			6-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33696 - 33697	Donges Bay	LD 023			25-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33712 - 33713	Donges Bay	LD 024			11-May-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33922 - 33921	Donges Bay	LD 025			18-May-10	Baseflow	Baseflow	0	144.37	0	0	0	0	0	0	21.98	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33926 - 33925	Donges Bay	LD 027			13-Jul-10	Baseflow	Baseflow	0	0	0	127.09	0	0	0	0	1.05	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34564 - 34563	Donges Bay	LD 028			15-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33928 - 33927	Donges Bay	LD 029			22-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.37	0	0	0	0	0	0	0
Milw Corridor Study USGS	33930 - 33929	Donges Bay	LD 030			23-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26	0	0	0	0	0	0	0
Milw Corridor Study USGS	34061 - 34060	Donges Bay	LD 033			1-Sep-10	Event	Rainfall 	0	2782.13	0	0	0	0	0	0	211.97	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34125 - 34124	Donges Bay	LD 034			13-Sep-10	Baseflow	Baseflow	3.66	1.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34075 - 34074	Donges Bay	LD 035			23-Oct-10	Event	Rainfall 	0	0	0	0	0	0	0	0	5.23	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34083 - 34082	Donges Bay	LD 036			26-Oct-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34091 - 34090	Donges Bay	LD 037			10-Nov-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
