Study Name	LIDE Sample ID	Site Name	Study Sample ID	Sample Combining needed?	USGS_ID	Collection Start Date	Sample Type	Event Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	34085 - 34084	Meno Falls	MF 034			26-Oct-10	Event	Rainfall 	0	0	0	48.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34093 - 34092	Meno Falls	MF 035			10-Nov-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34111 - 34110	Meno Falls	MF 036			22-Nov-10	Event	Rainfall 	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34556 - 34555	Meno Falls	MF 037			5-Jan-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34605 - 34604	Meno Falls	MF 038			16-Feb-11	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34595 - 34594	Meno Falls	MF 039			28-Feb-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34615 - 34614	Meno Falls	MF 040			9-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	8.24	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34627 - 34626	Meno Falls	MF 041			14-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34637 - 34636	Meno Falls	MF 042			17-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	5.71	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34639 - 34638	Meno Falls	MF 043			20-Mar-11	Event	Rainfall 	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34653 - 34652	Meno Falls	MF 044			22-Mar-11	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34665 - 34664	Meno Falls	MF 045			29-Mar-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33297 - 33298	70th St.	MW 001			6-Apr-09	Baseflow	Baseflow	16.8	132.68	0	0	0	0	0	0														
Milw Corridor Study USGS	33314 - 33315	70th St.	MW 002			19-Apr-09	Event	Rainfall 	32.52	148.5	0	24.26	0	0	0	0														
Milw Corridor Study USGS	33329 - 33330	70th St.	MW 003			26-Apr-09	Event	Rainfall 	0	5.44	0	0	0	0	0	0														
Milw Corridor Study USGS	33348 - 33349	70th St.	MW 004			13-May-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33386 - 33387	70th St.	MW 005			8-Jun-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33399 - 33400	70th St.	MW 006			15-Jun-09	Baseflow	Baseflow	0	5.74	0	0.94	0	0	0	0														
Milw Corridor Study USGS	33445 - 33446	70th St.	MW 009			11-Aug-09	Baseflow	Baseflow	43.46	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33460 - 33461	70th St.	MW 011			14-Sep-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33472 - 33473	70th St.	MW 012			22-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33482 - 33483	70th St.	MW 013			27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33492 - 33493	70th St.	MW 014			1-Oct-09	Event	Rainfall 	1.73	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33532 - 33533	70th St.	MW 015			22-Oct-09	Event	Rainfall 	9.53	33.06	0	0.65	0	0	0	0														
Milw Corridor Study USGS	33554 - 33555	70th St.	MW 016			18-Nov-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33577 - 33578	70th St.	MW 017			24-Dec-09	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33594 - 33595	70th St.	MW 018			20-Jan-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33606 - 33607	70th St.	MW 019			22-Jan-10	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33612 - 33613	70th St.	MW 020			1-Mar-10	Baseflow	Baseflow	0	0	0	307.78	0	0	0	0	49.14	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33664 - 33665	70th St.	MW 021			9-Mar-10	Event	Mix	0	11.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.44	0	0
Milw Corridor Study USGS	33686 - 33687	70th St.	MW 023			5-Apr-10	Event	Rainfall 	41.32	0	0	0	0	0	0	0	40.36	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33700 - 33701	70th St.	MW 024			24-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33714 - 33715	70th St.	MW 025			11-May-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33967 - 33966	70th St.	MW 026			12-May-10	Event	Rainfall 	0.05	0.05	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33969 - 33968	70th St.	MW 027			18-May-10	Baseflow	Baseflow	0	0	0	379.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33971 - 33970	70th St.	MW 032			2-Jun-10	Event	Rainfall 	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33973 - 33972	70th St.	MW 033			15-Jun-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33976 - 33975	70th St.	MW 036			13-Jul-10	Baseflow	Baseflow	5.16	0	0	0	0	0	0	0	0	0	0	0	0	0	16.64	0	0	0	0	0	0	0
Milw Corridor Study USGS	34566 - 34565	70th St.	MW 037			15-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33978 - 33977	70th St.	MW 038			22-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33980 - 33979	70th St.	MW 039			23-Jul-10	Event	Rainfall 	0.05	0	0	179.19	0	0	0	0	0	0	0	0	0	0	16.99	0	0	0	0	0	0	0
Milw Corridor Study USGS	33982 - 33981	70th St.	MW 040			4-Aug-10	Baseflow	Baseflow	0	0	0	5.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34121 - 34120	70th St.	MW 042			13-Sep-10	Baseflow	Baseflow	0	0	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33618 - 33619	Underwood	UW 001			1-Mar-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	13.61	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33668 - 33669	Underwood	UW 002			11-Mar-10	Event	Mix	6.82	0	0	0	0	0	0	0	12.46	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33692 - 33693	Underwood	UW 004			7-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33702 - 33703	Underwood	UW 005			25-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33710 - 33711	Underwood	UW 006			11-May-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33987 - 33986	Underwood	UW 007			18-May-10	Baseflow	Baseflow	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33990 - 33989	Underwood	UW 013			13-Jul-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.85	0	0	0	0	0	0	0
Milw Corridor Study USGS	34572 - 34571	Underwood	UW 014			15-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33992 - 33991	Underwood	UW 015			22-Jul-10	Event	Rainfall 	0.24	0.24	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33994 - 33993	Underwood	UW 016			23-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33999 - 33998	Underwood	UW 019			20-Aug-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34065 - 34064	Underwood	UW 020			1-Sep-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34123 - 34122	Underwood	UW 021			13-Sep-10	Baseflow	Baseflow	0	1.55	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34073 - 34072	Underwood	UW 022			13-Oct-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34079 - 34078	Underwood	UW 023			23-Oct-10	Event	Rainfall 	0	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34087 - 34086	Underwood	UW 024			26-Oct-10	Event	Rainfall 	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34095 - 34094	Underwood	UW 025			10-Nov-10	Baseflow	Baseflow	0	7.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34113 - 34112	Underwood	UW 026			22-Nov-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34129 - 34128	Underwood	UW 027			29-Nov-10	Event	Rainfall 	0	0	0	0	0	0	0	0	20.55	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34327 - 34326	Underwood	UW 028			11-Dec-10	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34329 - 34328	Underwood	UW 029			19-Dec-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34560 - 34559	Underwood	UW 030			5-Jan-11	Baseflow	Baseflow	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34589 - 34588	Underwood	UW 031			28-Feb-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34617 - 34616	Underwood	UW 032			9-Mar-11	Event	Snowmelt	0	0	0	130.72	0	0	0	0	0	12.77	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34629 - 34628	Underwood	UW 033			14-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34641 - 34640	Underwood	UW 034			17-Mar-11	Event	Snowmelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34643 - 34642	Underwood	UW 035			20-Mar-11	Event	Rainfall 	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34655 - 34654	Underwood	UW 036			22-Mar-11	Event	Rainfall 	0	0	0	0	0	0	0	0	4.46	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34669 - 34668	Underwood	UW 037			29-Mar-11	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
