SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
HW039	11-22-2010 07:32	11-23-2010 06:15	no	Rainfall	yes	174	Rainfall	11-22-2010 05:30	11-23-2010 10:30	11-22-2010 05:30	11-23-2010 10:30	2:02	4:15	
HW040	11-29-2010 20:46	11-30-2010 18:10	no	Rainfall	yes	115	Rainfall	11-29-2010 19:00	11-30-2010 22:30	11-29-2010 19:00	11-30-2010 22:30	1:46	4:20	
HW041	12-11-2010 16:26	12-12-2010 18:19	no	Mix	yes	328	"melt, rain, snow"	12-11-2010 13:00	12-13-2010 00:30	12-11-2010 13:00	12-13-2010 00:30	3:26	6:11	
HW042	12-19-2010 12:44	12-20-2010 09:07	no	Baseflow	yes	236	Baseflow							
HW043	01-05-2011 10:01	01-06-2011 08:20	no	Baseflow	yes	231	Baseflow							
HW044	02-16-2011 14:05	02-19-2011 21:22	no	Mix	yes	276	Snowmelt with mist	02-16-2011 11:15	02-20-2011 03:00	02-16-2011 11:15	02-20-2011 03:00	2:50	5:38	
HW045	02-28-2011 11:03	03-01-2011 14:43	no	Baseflow	NA	225	baseflow; sampler lost power and stopped running; restarted later at higher sampling rate							
HW046	03-09-2011 04:57	03-10-2011 08:31	no	Snowmelt	NA	386	Snowmelt	03-09-2011 03:45	03-10-2011 10:15	03-09-2011 03:45	03-10-2011 10:15	1:12	1:44	
HW047	03-14-2011 15:47	03-17-2011 08:02	yes	Snowmelt	NA	201	minor snowmelt	03-14-2011 13:00	03-19-2011 06:00	03-14-2011 13:00	03-17-2011 08:15	2:47	0:13	
HW048	03-17-2011 13:20	03-19-2011 07:47	yes	Snowmelt	NA	155	snowmelt; moved to filter 2 but sampler lost power and reset.			03-17-2011 09:40	03-19-2011 06:00	3:40	###############################################################################################################################################################################################################################################################	
HW049	03-22-2011 13:45	03-23-2011 19:58	no	Rainfall	NA	317	rain	03-22-2011 13:45	03-24-2011 04:00	03-22-2011 13:45	03-24-2011 04:00	0:00	8:02	
HW050	03-29-2011 08:46	03-30-2011 10:37	no	Baseflow	NA	231	Baseflow							
HW051	03-29-2011 08:54	03-30-2011 10:44	no	Replicate	NA	231	Baseflow duplicate							
LD001	04-07-2009 17:57	04-08-2009 05:48	no	Baseflow	yes	255.9	Baseflow: First sample was a test sample through the old filter--subrtracted 5 L to total volume to account for this							
LD002	04-20-2009 11:37	04-22-2009 07:47	no	Rainfall	yes	281	Rainfall event	04-19-2009 17:15	04-22-2009 23:00	04-19-2009 17:15	04-22-2009 23:00	18:22	15:13	
LD003	05-28-2009 11:30	05-28-2009 11:40	no	Blank	no	10	Blank							
LD004	06-08-2009 04:19	06-09-2009 13:57	no	Rainfall	yes	140	Rainfall event	06-08-2009 02:15	06-10-2009 01:30	06-08-2009 02:15	06-10-2009 01:30	2:04	11:33	
LD005	06-15-2009 20:47	06-16-2009 13:36	no	Baseflow	yes	146	Baseflow: estimated due to leak in bypass valve. Subtracted 45 liters from total.							
LD006S	07-07-2009 09:40	NA	no	Sediment	no	NA	Bed Sediment Sample; fine sand to silt; little organics							
LD007	08-11-2009 08:48	08-12-2009 08:35	no	Baseflow	yes	241	Baseflow							
LD008S	09-02-2009 09:30	NA	no	Sediment	no	NA	Sediment							
LD009	09-14-2009 09:42	09-15-2009 08:35	no	Baseflow	yes	186	Baseflow							
LD010	09-22-2009 13:54	09-23-2009 07:32	no	Rainfall	yes	331	Rainfall	09-22-2009 12:45	09-23-2009 18:30	09-22-2009 12:45	09-23-2009 18:30	1:09	10:58	
LD011	09-27-2009 20:48	09-28-2009 10:54	no	Rainfall	no	176	Rainfall	09-27-2009 19:15	09-28-2009 17:00	09-27-2009 19:15	09-28-2009 17:00	1:33	6:06	
LD012	10-01-2009 22:32	10-02-2009 10:10	no	Rainfall	no	301	Rainfall	10-01-2009 20:15	10-03-2009 00:30	10-01-2009 20:15	10-03-2009 00:30	2:17	14:20	
LD013	10-22-2009 08:51	10-24-2009 03:05	yes	Rainfall	no	664		10-22-2009 07:45	10-24-2009 20:00	10-22-2009 07:45	10-24-2009 03:05	1:06	0:00	
LD014	10-24-2009 03:05	10-24-2009 09:26	yes	Rainfall	yes	189	Rainfall event			10-24-2009 03:05	10-24-2009 20:00	0:00	10:34	
LD015	11-17-2009 17:36	11-18-2009 15:15	no	Baseflow	yes	236	Low flow with a little rain at the end of sampling							
LD016	12-25-2009 07:33	12-27-2009 16:50	no	Mix	no	276	Rain on top of snow. Merry Xmas	12-24-2009 17:30	12-27-2009 20:00	12-24-2009 17:30	12-27-2009 20:00	14:03	3:10	
LD016S	12-17-2009 09:15	NA	no	Sediment	no	NA	bed sediment							
LD017	01-20-2010 10:36	01-21-2010 09:34	no	Baseflow	no	206	Baseflow--pH troubles. We may have had low pH values--the metering speed was very high and the sensor was bad							
LD018	01-24-2010 04:39	01-26-2010 09:23	no	Mix	yes	120	"Snowmelt with a little rain (maybe < 0.25"")"	01-23-2010 15:45	01-26-2010 13:30	01-23-2010 15:45	01-26-2010 13:30	12:54	4:07	
LD019	03-01-2010 08:55	03-02-2010 09:09	no	Baseflow	yes	251	Baseflow with a little snowmelt from mid-thirties temps and sun							
LD020	03-09-2010 17:06	03-15-2010 09:00	no	Mix	yes	913	Rain + snow melt	03-09-2010 13:35	03-17-2010 08:00	03-09-2010 13:35	03-17-2010 08:00	3:31	47:00	
LD021S	03-23-2010 09:45	NA	no	Sediment	no	NA	bed sediment sample 							
LD022	04-06-2010 01:22	04-07-2010 12:22	no	Rainfall	yes	632	Rainfall event	04-05-2010 22:15	04-07-2010 15:00	04-05-2010 22:15	04-07-2010 15:00	3:07	2:38	
LD023	04-25-2010 00:19	04-26-2010 07:59	no	Rainfall	yes	823	Rainfall event	04-25-2010 00:15	04-26-2010 23:00	04-25-2010 00:15	04-26-2010 23:00	0:04	15:01	
LD024	05-11-2010 05:41	05-11-2010 20:18	no	Rainfall	yes	321	Rainfall event	05-11-2010 04:45	05-12-2010 18:00	05-11-2010 04:45	05-12-2010 18:00	0:56	21:42	
LD025	05-18-2010 07:22	05-19-2010 07:17	no	Baseflow	yes	221	Baseflow							
LD026S	06-30-2010 09:00	NA	no	Sediment	no	NA	bed sediment sample 							
LD027	07-13-2010 08:12	07-14-2010 07:51	no	Baseflow	yes	211	Baseflow							
LD028	07-15-2010 07:13	07-16-2010 07:19	no	Rainfall	yes	301	CSO--caught the falling hydrograph	07-14-2010 21:15	07-16-2010 18:00	07-14-2010 21:15	07-16-2010 18:00	9:58	10:41	
LD029	07-22-2010 16:38	07-23-2010 04:33	yes	Rainfall	yes	316	"huge storm, CSOs, flooding; divided event into two samples; rising limb, peak, and some of falling limb"	07-22-2010 12:35	07-26-2010 19:30	07-22-2010 12:35	07-23-2010 08:12	4:03	3:39	
LD030	07-23-2010 11:52	07-25-2010 21:23	yes	Rainfall	yes	537	"huge storm, CSOs, flooding; second of two samples; falling limb and second peak"			07-23-2010 08:12	07-26-2010 19:30	3:39	22:07	
LD031	08-04-2010 14:10	08-04-2010 14:15	no	Blank	no	10	blank- virus only							
LD032	08-17-2010 09:50	NA	no	Sediment	no	NA	bed sed							
LD033	09-01-2010 02:36	09-01-2010 13:58	no	Rainfall	yes	226	Rainfall	09-01-2010 02:15	09-01-2010 17:00	09-01-2010 02:15	09-01-2010 17:00	0:21	3:02	
LD034	09-13-2010 08:48	09-14-2010 07:59	no	Baseflow	yes	221	Baseflow							
LD035	10-23-2010 23:37	10-24-2010 18:40	no	Rainfall 	yes	472	rainfall after 5 week dry period	10-23-2010 23:15	10-25-2010 02:15	10-23-2010 23:15	10-25-2010 02:15	0:22	7:35	
LD036	10-26-2010 07:19	10-26-2010 21:39	no	Rainfall	yes	376	Rainfall	10-26-2010 06:30	10-26-2010 21:45	10-26-2010 06:30	10-26-2010 21:45	0:49	0:06	
LD037	11-10-2010 08:58	11-11-2010 07:37	no	Baseflow	yes	261	Baseflow							
LD038	01-05-2011 09:38	01-06-2011 08:32	no	Baseflow	yes	276	Baseflow							
LD039	02-16-2011 16:19	02-19-2011 21:08	no	Mix	yes	1124	Snowmelt with mist	02-16-2011 12:00	02-20-2011 11:30	02-16-2011 12:00	02-20-2011 11:30	4:19	14:22	
LD040	02-28-2011 09:33	03-01-2011 09:31	no	Baseflow	NA	266	Baseflow							
LD041	03-09-2011 12:38	03-10-2011 09:18	no	Snowmelt	NA	216	Snowmelt	03-09-2011 10:45	03-10-2011 10:00	03-09-2011 10:45	03-10-2011 10:00	1:53	0:42	
LD042	03-14-2011 11:40	03-16-2011 09:35	yes	Snowmelt	NA	361	minor snowmelt 	03-14-2011 08:55	03-19-2011 09:00	03-14-2011 08:55	03-16-2011 12:00	2:45	2:25	
LD043	03-17-2011 10:17	03-18-2011 20:29	yes	Snowmelt	NA	472	snowmelt; tried to switch to filter 2 but had flow failures			03-17-2011 08:30	03-19-2011 09:00	1:47	12:31	
LD044	03-22-2011 16:30	03-23-2011 19:05	no	Rainfall	NA	251	rain	03-22-2011 10:55	03-24-2011 11:00	03-22-2011 10:55	03-24-2011 11:00	5:35	15:55	
