SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
MF016	01-24-2010 07:13	01-26-2010 09:06	no	Mix	yes	201	"Snowmelt with a little rain (maybe < 0.25"")"	01-24-2010 04:10	01-26-2010 20:00	01-24-2010 04:10	01-26-2010 20:00	3:03	10:54	
MF017	03-01-2010 08:59	03-02-2010 01:51	no	Baseflow	yes	161	"Baseflow with a little snowmelt from mid-thirties temps and sun, acid was empty, flow failures"							
MF018	03-09-2010 17:03	03-14-2010 14:31	no	Mix	yes	620	snowmelt and rain over 4-5 days	03-09-2010 13:55	03-18-2010 03:00	03-09-2010 13:55	03-18-2010 03:00	3:08	84:29	
MF019S	03-23-2010 08:45	NA	no	Sediment	no	NA	bed sediment sample  							
MF020	04-06-2010 22:43	04-08-2010 13:47	no	Rainfall	yes	332	Rainfall event	04-06-2010 22:43	04-11-2010 06:00	04-06-2010 22:43	04-11-2010 06:00	0:00	64:13	
MF021	04-24-2010 23:07	04-26-2010 07:39	no	Rainfall	yes	486	Rainfall event	04-24-2010 23:07	04-29-2010 18:00	04-24-2010 23:07	04-29-2010 18:00	0:00	82:21	
MF022	05-18-2010 11:04	05-19-2010 11:53	no	Baseflow	yes	217	Baseflow							
MF023	06-15-2010 15:14	06-16-2010 10:21	no	Rainfall 	yes	297	rainfall event- short intense storm; CSO	06-15-2010 15:14	06-16-2010 12:00	06-15-2010 15:14	06-16-2010 12:00	0:00	1:39	goofy ending
MF024S	06-30-2010 09:45	NA	no	Sediment	no	NA	bed sediment							
MF025	07-13-2010 08:29	07-14-2010 05:57	no	Baseflow	yes	191	"Baseflow, pH failure ended it about 3 hrs early"							
MF026	07-15-2010 07:07	07-16-2010 07:19	no	Rainfall	yes	443	"CSO--caught the falling hydrograph, Intermittent pH failures"	07-14-2010 21:30	07-20-2010 03:00	07-14-2010 21:30	07-20-2010 03:00	9:37	91:41	
MF027	07-22-2010 16:27	07-23-2010 12:05	yes	Rainfall	yes	433	"huge storm, CSOs, flooding; divided event into two samples; rising limb, peak, and some of falling limb"	07-22-2010 10:00	07-29-2010 03:00	07-22-2010 10:00	07-23-2010 12:35	6:27	0:30	
MF028	07-23-2010 13:05	07-26-2010 00:12	yes	Rainfall	yes	680	"huge storm, CSOs, flooding; second of two samples; falling limb and second peak"			07-23-2010 12:35	07-29-2010 03:00	0:30	74:48	
MF029	08-04-2010 15:20	08-04-2010 15:30	no	Blank	no	10	blank (virus only)							
MF030	08-17-2010 08:50	NA	no	Sediment	no	NA	bed sed							
MF031	09-01-2010 02:01	09-01-2010 14:08	no	Rainfall	yes	257	Rainfall	09-01-2010 01:45	09-01-2010 14:15	09-01-2010 01:45	09-01-2010 14:15	0:16	0:07	
MF032	09-13-2010 08:49	09-14-2010 07:52	no	Baseflow	yes	181.3	Baseflow							
MF033	10-23-2010 16:59	10-24-2010 17:11	no	Rainfall 	yes	353	Rainfall after 5 week dry period;  pH failures ended it (ran out of acid?)	10-23-2010 16:59	10-25-2010 12:05	10-23-2010 16:59	10-25-2010 12:05	0:00	18:54	
MF034	10-26-2010 08:37	10-26-2010 22:50	no	Rainfall 	yes	186	Rainfall; pH failures ended it.	10-26-2010 05:00	10-27-2010 02:30	10-26-2010 05:00	10-27-2010 02:30	3:37	3:40	
MF035	11-10-2010 09:14	11-11-2010 08:01	no	Baseflow	yes	237	Baseflow							
MF036	11-22-2010 07:38	11-23-2010 07:49	no	Rainfall	yes	191	Rain event	11-22-2010 07:38	11-23-2010 11:45	11-22-2010 07:38	11-23-2010 11:45	0:00	3:56	
MF037	01-05-2011 10:48	01-06-2011 08:23	no	Baseflow	yes	317	Baseflow							
MF038	02-16-2011 14:24	02-20-2011 08:10	no	Mix	yes	609	Snowmelt with mist	02-16-2011 10:35	02-20-2011 16:00	02-16-2011 10:35	02-20-2011 16:00	3:49	7:50	
MF039	02-28-2011 09:31	03-01-2011 12:46	no	Baseflow	NA	196	Baseflow							
MF040	03-09-2011 05:29	03-10-2011 09:27	no	Snowmelt	NA	232	Snowmelt	03-09-2011 03:00	03-10-2011 12:30	03-09-2011 03:00	03-10-2011 12:30	2:29	3:03	
MF041	03-14-2011 11:28	03-17-2011 07:38	yes	Snowmelt	NA	302	minor snowmelt	03-14-2011 11:28	03-20-2011 07:00	03-14-2011 11:28	03-17-2011 07:45	0:00	0:07	
MF042	03-17-2011 11:28	03-20-2011 06:45	yes	Snowmelt	NA	670	snowmelt			03-17-2011 09:20	03-20-2011 07:00	2:08	0:15	
MF043	03-20-2011 07:19	03-21-2011 07:45	yes	Rainfall	NA	398	rain;  filter 2- virus only- no organic/Gd	03-20-2011 07:19	03-25-2011 12:00	03-20-2011 07:19	03-21-2011 07:45	0:00	0:00	
MF044	03-22-2011 19:07	03-24-2011 07:45	yes	Rainfall	NA	166	rain			03-22-2011 19:05	03-25-2011 12:00	0:02	28:15	
MF045	03-29-2011 07:35	03-30-2011 09:02	no	Baseflow	NA	257	Baseflow							
MF046	03-29-2011 07:43	03-30-2011 09:09	no	Replicate	NA	257	Baseflow duplicate							
MW001	04-06-2009 10:23	04-07-2009 01:22	no	Baseflow	yes	95.3	Baseflow							
MW002	04-19-2009 18:45	04-22-2009 07:27	no	Rainfall	yes	291	Rainfall event	04-19-2009 15:15	04-22-2009 15:00	04-19-2009 15:15	04-22-2009 15:00	3:30	7:33	
MW003	04-26-2009 18:16	04-29-2009 06:16	no	Rainfall	yes	361	CSO began 2:45 CDT 4/26/09	04-25-2009 10:15	04-29-2009 06:16	04-25-2009 10:15	04-29-2009 06:16	32:01	0:00	
MW004	05-13-2009 20:13	05-15-2009 07:12	no	Rainfall 	yes	306	"Rainfall, pH at end of storm was from 7.5-7.7"	05-13-2009 20:00	05-15-2009 15:00	05-13-2009 20:00	05-15-2009 15:00	0:13	7:48	
MW005	06-08-2009 02:58	06-09-2009 14:37	no	Rainfall	yes	291	Rainfall event	06-08-2009 02:30	06-10-2009 00:30	06-08-2009 02:30	06-10-2009 00:30	0:28	9:53	
MW006	06-15-2009 20:59	06-16-2009 13:38	no	Baseflow	yes	217	Baseflow							
MW007S	07-07-2009 12:40	NA	no	Sediment	no	NA	"Bed Sediment Sample - upstream site; med to fine sand, some silt; minor organics"							
MW008S	07-07-2009 13:00	NA	no	Sediment	no	NA	Bed Sediment Sample - at gage; sand; little/no organics							
MW009	08-11-2009 11:25	08-12-2009 08:50	no	Baseflow	yes	201	Baseflow							
MW010S	09-02-2009 10:50	NA	no	Sediment	no	NA	Sediment							
MW011	09-14-2009 10:03	09-15-2009 08:29	no	Baseflow	yes	215	Baseflow							
MW012	09-22-2009 12:35	09-23-2009 07:44	no	Rainfall	yes	456	Rainfall event	09-22-2009 12:30	09-23-2009 13:45	09-22-2009 12:30	09-23-2009 13:45	0:05	6:01	
MW013	09-27-2009 19:38	09-28-2009 10:01	no	Rainfall 	no	158	"Rainfall event, No Organic Sample"	09-27-2009 19:25	09-28-2009 18:15	09-27-2009 19:25	09-28-2009 18:15	0:13	8:14	
MW014	10-01-2009 20:31	10-02-2009 09:24	no	Rainfall	no	165	Rainfall event	10-01-2009 19:55	10-02-2009 17:00	10-01-2009 19:55	10-02-2009 17:00	0:36	7:36	
MW015	10-22-2009 06:11	10-23-2009 19:13	no	Rainfall	yes	224		10-22-2009 05:55	10-24-2009 13:30	10-22-2009 05:55	10-24-2009 13:30	0:16	18:17	
MW016	11-18-2009 07:10	11-18-2009 15:26	no	Baseflow	yes	190	"Low flow with a little rain at the end of sampling: Actually started at 18:10 on the 17th, but had some pH problems, so only 6 samples were collected in the first few hours."							
MW017	12-24-2009 20:14	12-28-2009 07:57	no	Mix	no	435	Rain on top of snow. Merry Xmas	12-24-2009 15:30	12-28-2009 10:30	12-24-2009 15:30	12-28-2009 10:30	4:44	2:33	
MW017S	12-17-2009 13:45	NA	no	Sediment	no	NA	bed sediment							
MW018	01-20-2010 11:50	01-21-2010 11:18	no	Baseflow	no	196	Baseflow							
MW019	01-22-2010 23:15	01-25-2010 12:28	no	Mix	yes	120	"Snowmelt with a little rain (maybe < 0.25"")"	01-22-2010 23:15	01-26-2010 04:15	01-22-2010 23:15	01-26-2010 04:15	0:00	15:47	hydro rise started on 1/23/10 12:00
MW020	03-01-2010 09:16	03-02-2010 09:22	no	Baseflow	yes	231	Baseflow with a little snowmelt from mid-thirties temps and sun							
MW021	03-09-2010 17:19	03-13-2010 20:30	no	Mix	yes	719	Snowmelt with rain	03-09-2010 12:00	03-15-2010 16:00	03-09-2010 12:00	03-15-2010 16:00	5:19	43:30	
MW022S	03-23-2010 11:00	NA	no	Sediment	no	NA	bed sediment							
MW023	04-05-2010 22:29	04-07-2010 13:37	no	Rainfall	yes	236	Rainfall event	04-05-2010 21:15	04-07-2010 14:30	04-05-2010 21:15	04-07-2010 14:30	1:14	0:53	
MW024	04-24-2010 23:25	04-26-2010 13:06	no	Rainfall	yes	491	Rainfall event	04-24-2010 23:20	04-26-2010 22:00	04-24-2010 23:20	04-26-2010 22:00	0:05	8:54	
MW025	05-11-2010 04:39	05-12-2010 07:52	yes	Rainfall	yes	441	Rainfall event	05-11-2010 03:15	05-14-2010 14:00	05-11-2010 03:15	05-12-2010 12:00	1:24	4:08	
MW026	05-12-2010 23:23	05-14-2010 06:34	yes	Rainfall	yes	481	Rainfall event			05-12-2010 22:45	05-14-2010 14:00	0:38	7:26	
MW027	05-18-2010 17:52	05-19-2010 07:46	no	Baseflow	yes	201	Baseflow							
MW028	06-02-2010 14:15	NA	no	Blank	no	NA	Organic Trip Blank- poured N2-purged org-free blank water directly into 50 ml vials							
MW029	06-02-2010 14:25	NA	no	Blank	no	NA	"Organic Sampler Blank- pumped ~400ml of blank water through sampler, then collected ~500ml in pickle jar; in lab, put through churn and syringe filter, into 50ml vials"							
MW030	06-02-2010 14:41	NA	no	Baseflow	no	NA	"Organic Concurrent Sample- pumped native water through sampler into pickle jar; put through churn, syringe filter in lab."							
MW031	06-02-2010 14:40	NA	no	Baseflow	no	NA	"Organic Concurrent Sample- single-dip grab sample at intake, using 50ml vials; no filtration in lab"							
MW032	06-02-2010 17:44	06-03-2010 10:57	no	Rainfall 	yes	125	Rainfall event--very flashy thunderstorm	06-02-2010 17:40	06-03-2010 14:05	06-02-2010 17:40	06-03-2010 14:05	0:04	3:08	
MW033	06-15-2010 15:16	06-16-2010 08:38	no	Rainfall 	yes	201	rainfall- short and intense- CSO	06-15-2010 15:05	06-16-2010 17:30	06-15-2010 15:05	06-16-2010 17:30	0:11	8:52	
MW034S	06-30-2010 14:15	NA	no	Sediment	no	NA	bed sediment sample							
MW035	07-13-2010 08:24		no	Baseflow	yes	NA	"Baseflow, pH failure ended it about 9 hrs early"							
MW036	07-13-2010 08:53	07-13-2010 22:30	no	Baseflow	yes	135	"Baseflow, pH failure"							
MW037	07-15-2010 07:31	07-16-2010 07:06	no	Rainfall	yes	376	CSO--caught the falling hydrograph	07-14-2010 21:50	07-17-2010 06:00	07-14-2010 21:50	07-17-2010 06:00	9:41	22:54	
MW038	07-22-2010 10:46	07-23-2010 08:02	yes	Rainfall	yes	341	"huge storm, CSOs, flooding; divided event into two samples; rising limb, peak, and some of falling limb"	07-22-2010 09:40	07-25-2010 23:45	07-22-2010 09:40	07-23-2010 08:28	1:06	0:26	
MW039	07-23-2010 08:55	07-25-2010 20:07	yes	Rainfall	yes	516	"huge storm, CSOs, flooding; second of two samples; falling limb and second peak"			07-23-2010 08:28	07-25-2010 23:45	0:27	3:38	
MW040	08-04-2010 10:45	08-05-2010 07:58	no	Baseflow	yes	201	Baseflow							
MW041	08-05-2010 09:40	08-05-2010 09:50	no	Blank	no	10	blank							
MW041S	08-17-2010 11:50	NA	no	Sediment	no	NA	bed sed							
MW042	09-13-2010 09:22	09-14-2010 07:47	no	Baseflow	yes	231	Baseflow							
UW001	03-01-2010 10:14	03-02-2010 09:10	no	Baseflow	yes	221	Baseflow with a little snowmelt from mid-thirties temps and sun							
UW002	03-11-2010 12:50	03-15-2010 08:47	no	Mix	yes	337	Snowmelt with rain	03-11-2010 11:20	03-16-2010 13:40	03-11-2010 11:20	03-16-2010 13:40	1:30	28:53	
UW003S	03-23-2010 13:30	NA	no	Sediment	no	NA	bed sediment sample							
UW004	04-07-2010 15:43	04-08-2010 15:23	no	Rainfall	yes	90.1	Rain event: equipment malfunction during early part of event. Sample begins just before peak and extends through falling hydrograph	04-07-2010 14:55	04-08-2010 22:15	04-07-2010 14:55	04-08-2010 22:15	0:48	6:52	
UW005	04-25-2010 06:16	04-26-2010 08:03	no	Rainfall 	yes	494	Rainfall event--falling limb	04-25-2010 03:30	04-27-2010 19:30	04-25-2010 03:30	04-27-2010 19:30	2:46	35:27	
UW006	05-11-2010 04:32	05-12-2010 08:27	no	Rainfall	yes	385	Rainfall event	05-11-2010 03:30	05-12-2010 12:00	05-11-2010 03:30	05-12-2010 12:00	1:02	3:33	
UW007	05-18-2010 07:53	05-19-2010 07:41	no	Baseflow	yes	210	Baseflow							
UW008	06-02-2010 15:20	NA	no	Blank	no	NA	Organic Trip Blank- poured N2-purged org-free blank water directly into 50 ml vials							
UW009	06-02-2010 15:25	NA	no	Blank	no	NA	"Organic Sampler Blank- pumped ~400ml of blank water through sampler, then collected ~500ml in pickle jar; in lab, put through churn and syringe filter, into 50ml vials"							
UW010	06-02-2010 15:34	NA	no	Baseflow	no	NA	Organic Concurrent Sample- pumped native water through sampler into pickle jar; processed as usual in lab.							
UW011	06-02-2010 15:35	NA	no	Baseflow	no	NA	"Organic Concurrent Sample- single-dip grab sample at intake, using 50ml vials; no filtration in lab"							
UW012S	06-30-2010 11:15	NA	no	Sediment	no	NA	bed sediment sample							
UW013	07-13-2010 09:56	07-14-2010 08:06	no	Baseflow	yes	230	Baseflow							
UW014	07-15-2010 07:20	07-16-2010 07:10	no	Rainfall	yes	470	CSO--caught the falling hydrograph	07-14-2010 21:00	07-17-2010 04:30	07-14-2010 21:00	07-17-2010 04:30	10:20	21:20	
UW015	07-22-2010 11:41	07-23-2010 10:16	yes	Rainfall	yes	415	"huge storm, CSOs, flooding; divided event into two samples; rising limb, peak, and some of falling limb"	07-22-2010 09:30	07-25-2010 23:45	07-22-2010 09:30	07-23-2010 10:31	2:11	0:15	
UW016	07-23-2010 10:46	07-25-2010 06:46	yes	Rainfall	yes	851	"huge storm, CSOs, flooding; second of two samples; falling limb and second peak"			07-23-2010 10:31	07-25-2010 23:45	0:15	16:59	
UW017	08-04-2010 13:00	08-04-2010 13:05	no	Blank	no	10	blank - virus only							
UW018	08-17-2010 10:55	NA	no	Sediment	no	NA	bed sediment sample							
UW019	08-20-2010 18:45	08-23-2010 05:09	no	Rainfall	yes	305	storm event	08-20-2010 18:15	08-23-2010 07:30	08-20-2010 18:15	08-23-2010 07:30	0:30	2:21	
UW020	09-01-2010 03:24	09-01-2010 15:17	no	Rainfall	yes	150	Rainfall	09-01-2010 02:45	09-01-2010 17:45	09-01-2010 02:45	09-01-2010 17:45	0:39	2:28	
UW021	09-13-2010 08:52	09-14-2010 07:41	no	Baseflow	yes	230	Baseflow							
UW022	10-13-2010 08:08	10-14-2010 07:23	no	Baseflow	yes	400	Baseflow							
UW023	10-23-2010 23:42	10-24-2010 20:57	no	Rainfall 	yes	280	rainfall after 5 week dry period	10-23-2010 23:00	10-25-2010 00:30	10-23-2010 23:00	10-25-2010 00:30	0:42	3:33	
UW024	10-26-2010 06:34	10-26-2010 23:20	no	Rainfall	yes	180	Rainfall	10-26-2010 05:15	10-27-2010 05:00	10-26-2010 05:15	10-27-2010 05:00	1:19	5:40	
UW025	11-10-2010 09:28	11-11-2010 07:43	no	Baseflow	yes	280	Baseflow							
UW026	11-22-2010 07:32	11-23-2010 00:40	no	Rainfall	yes	115	Rainfall	11-22-2010 05:00	11-23-2010 07:00	11-22-2010 05:00	11-23-2010 07:00	2:32	6:20	
UW027	11-29-2010 19:31	11-30-2010 17:26	no	Rainfall	yes	125	Rainfall	11-29-2010 17:45	11-30-2010 21:15	11-29-2010 17:45	11-30-2010 21:15	1:46	3:49	
UW028	12-11-2010 16:15	12-12-2010 16:43	no	Mix	yes	350	"melt, rain, snow"	12-11-2010 11:15	12-12-2010 20:10	12-11-2010 11:15	12-12-2010 20:10	5:00	3:27	
UW029	12-19-2010 12:55	12-20-2010 03:01	no	Baseflow	yes	135	Baseflow							
UW030	01-05-2011 10:33	01-06-2011 08:21	no	Baseflow	yes	225	Baseflow							
UW031	02-28-2011 10:56	03-01-2011 15:45	no	Baseflow	NA	151	"baseflow; ran out of acid after 55 L, restarted at more frequent sampling rate"							
UW032	03-09-2011 05:00	03-10-2011 09:04	no	Snowmelt	NA	245	Snowmelt	03-09-2011 02:15	03-10-2011 09:15	03-09-2011 02:15	03-10-2011 09:15	2:45	0:11	
UW033	03-14-2011 11:48	03-16-2011 16:50	no	Snowmelt	NA	450	minor snowmelt	03-14-2011 11:30	03-16-2011 16:50	03-14-2011 11:30	03-16-2011 16:50	0:18	0:00	
UW034	03-17-2011 13:15	03-19-2011 18:03	no	Snowmelt	NA	385	snowmelt	03-17-2011 08:30	03-19-2011 18:15	03-17-2011 08:30	03-19-2011 18:15	4:45	0:12	
UW035	03-20-2011 09:37	03-21-2011 08:01	no	Rainfall	NA	395	rain; filter 2- virus only	03-20-2011 08:40	03-21-2011 23:45	03-20-2011 08:40	03-21-2011 23:45	0:57	15:44	
UW036	03-22-2011 15:03	03-23-2011 21:49	no	Rainfall	NA	195	rain	03-22-2011 14:00	03-24-2011 08:00	03-22-2011 14:00	03-24-2011 08:00	1:03	10:11	
UW037	03-29-2011 08:38	03-30-2011 10:37	no	Baseflow	NA	255	Baseflow							
UW038	03-29-2011 08:46	03-30-2011 10:44	no	Replicate	NA	255	Baseflow Duplicate							
