"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"MW 014"	"33492 - 33493"	NA	"70th St."	"MW"	FALSE	"MW 014"	"10/1/2009 20:31"	"10/2/2009 9:24"	"10/2/2009 2:31"	"10/2/2009 15:24"	"1-Oct-09"	NA	"Oct"	"Event"	"Rainfall "	"Rainfall "	NA	1.73	0	0	1.73	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009 19:55"	"10/2/2009 17:00"	310.8193	761.6351	"MW 014"	FALSE	"Rainfall"	2009-10-02 02:31:00	2009-10-02	2009-10-02 00:55:00	2009-10-02 22:00:00	26854939.60875	761.6351	21.0833333333333	2009-10-01 21:00:00	2009-10-02 21:00:00	26.094464391	1315.57366488943	0	0	1315.57366488943	NA	NA	NA	NA	NA	NA
"MW 015"	"33532 - 33533"	8653	"70th St."	"MW"	FALSE	"MW 015"	"10/22/2009 6:11"	"10/23/2009 19:13"	"10/22/2009 12:11"	"10/24/2009 1:13"	"22-Oct-09"	"25-Oct-09"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	9.53	33.06	0.65	43.24	480	780	NA	34772	NA	3473	NA	3067	"10/22/2009 5:55"	"10/24/2009 13:30"	1017.5035	992.2587	"MW 015"	FALSE	"Rainfall"	2009-10-22 12:11:00	2009-10-22	2009-10-22 10:55:00	2009-10-24 18:30:00	87912139.3305	992.2587	55.5833333333333	2009-10-22 09:00:00	2009-10-23 23:00:00	44.4018848841	23723.9301853547	82299.3842526576	1618.10646594759	107641.42090396	1194909.39023822	1941727.75913711	NA	86561227.7445073	8645667.31728614	7634973.12470965
"MW 016"	"33554 - 33555"	8667	"70th St."	"MW"	FALSE	"MW 016"	"11/18/2009 7:10"	"11/18/2009 15:26"	"11/18/2009 13:10"	"11/18/2009 21:26"	"18-Nov-09"	"21-Nov-09"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	0	0	0	0	3800	4100	NA	120702	NA	21834	NA	25775	"11/18/2009 7:10"	"11/18/2009 15:26"	NA	NA	NA	NA	NA	2009-11-18 13:10:00	2009-11-18	2009-11-18 13:10:00	2009-11-18 21:26:00	2045861.4576	130.4715	8.26666666666667	2009-11-18 05:00:00	2009-11-18 20:00:00	3.394372363	0	0	0	0	220142.91116471	237522.614677713	NA	6992549.91142179	1264894.82167639	1493206.19349221
"MW 017"	"33577 - 33578"	NA	"70th St."	"MW"	FALSE	"MW 017"	"12/24/2009 20:14"	"12/28/2009 7:57"	"12/25/2009 2:14"	"12/28/2009 13:57"	"24-Dec-09"	NA	"Dec"	"Event"	"Mix"	"Mix"	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009 15:30"	"12/28/2009 10:30"	2516.1106	1718.322	"MW 017"	FALSE	"Mix"	2009-12-25 02:14:00	2009-12-25	2009-12-24 21:30:00	2009-12-28 16:30:00	217392686.79975	1718.322	91	2009-12-23 22:00:00	2009-12-27 04:00:00	46.572984612	0	0	0	0	NA	NA	NA	NA	NA	NA
"MW 018"	"33594 - 33595"	8698	"70th St."	"MW"	FALSE	"MW 018"	"1/20/2010 11:50"	"1/21/2010 11:18"	"1/20/2010 17:50"	"1/21/2010 17:18"	"20-Jan-10"	"23-Jan-10"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	30	26	NA	9692	NA	5978	NA	3233	"1/20/2010 11:50"	"1/21/2010 11:18"	NA	NA	NA	NA	NA	2010-01-20 17:50:00	2010-01-20	2010-01-20 17:50:00	2010-01-21 17:18:00	4229862.8448	53.81153	23.4666666666667	2010-01-20 17:00:00	2010-01-21 17:00:00	0	0	0	0	0	3593.29131844207	3114.18580931646	NA	1160872.64861135	716023.183388223	387237.027750774
"MW 019"	"33606 - 33607"	8703	"70th St."	"MW"	FALSE	"MW 019"	"1/22/2010 23:15"	"1/25/2010 12:28"	"1/23/2010 5:15"	"1/25/2010 18:28"	"22-Jan-10"	"28-Jan-10"	"Jan"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	580	360	NA	84297	NA	11265	NA	6535	"1/22/2010 23:15"	"1/26/2010 4:15"	994.4426	726.8976	"MW 019"	FALSE	"Mix"	2010-01-23 05:15:00	2010-01-23	2010-01-23 05:15:00	2010-01-26 10:15:00	86013368.7015	726.8976	77	2010-01-24 09:00:00	2010-01-26 00:00:00	7.48861824206	0	0	0	0	1412663.87250128	876825.851897344	NA	205316080.103862	27437342.2822877	15916824.8393032
"MW 020"	"33612 - 33613"	8718	"70th St."	"MW"	FALSE	"MW 020"	"3/1/2010 9:16"	"3/2/2010 9:22"	"3/1/2010 15:16"	"3/2/2010 15:22"	"1-Mar-10"	"4-Mar-10"	"Mar"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	307.78	307.78	116	135	NA	12108	NA	6631	NA	10617	"3/1/2010 9:16"	"3/2/2010 9:22"	NA	NA	NA	NA	NA	2010-03-01 15:16:00	2010-03-01	2010-03-01 15:16:00	2010-03-02 15:22:00	3738444.92782	48.72618	24.1	2010-03-01 15:00:00	2010-03-02 15:00:00	0	0	0	32581.8898124926	32581.8898124926	12279.8726955915	14291.2311543521	NA	1281764.64308811	701964.102107474	1123925.93456116
"MW 021"	"33664 - 33665"	8749	"70th St."	"MW"	FALSE	"MW 021"	"3/9/2010 17:19"	"3/13/2010 20:30"	"3/9/2010 23:19"	"3/14/2010 2:30"	"9-Mar-10"	"17-Mar-10"	"Mar"	"Event"	"Mix"	"Mix"	"Rain"	0	11.36	0	11.36	110	20	NA	10621	NA	3060	NA	360	"3/9/2010 12:00"	"3/15/2010 16:00"	3122.5942	815.5512	"MW 021"	FALSE	"Mix"	2010-03-09 23:19:00	2010-03-09	2010-03-09 18:00:00	2010-03-15 21:00:00	267565246.425	815.5512	147	2010-03-09 23:00:00	2010-03-13 15:00:00	11.613525317	0	86070.2218531337	0	86070.2218531337	833426.444000414	151532.080727348	NA	80471111.4702582	23184408.3512843	2727577.45309226
"MW 023"	"33686 - 33687"	8799	"70th St."	"MW"	FALSE	"MW 023"	"4/5/2010 22:29"	"4/7/2010 13:37"	"4/6/2010 4:29"	"4/7/2010 19:37"	"5-Apr-10"	"10-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	41.32	0	0	41.32	830	420	NA	17224	NA	2153	NA	435	"4/5/2010 21:15"	"4/7/2010 14:30"	697.5342	1813.561	"MW 023"	FALSE	"Rainfall"	2010-04-06 04:29:00	2010-04-06	2010-04-06 02:15:00	2010-04-07 19:30:00	60365133.195	1813.561	41.25	2010-04-05 22:00:00	2010-04-07 14:00:00	27.909557407	70630.3509329073	0	0	70630.3509329073	1418760.67943642	717927.090799154	NA	29441848.1236301	3680231.01545376	743567.344041981
"MW 024"	"33700 - 33701"	8855	"70th St."	"MW"	FALSE	"MW 024"	"4/24/2010 23:25"	"4/26/2010 13:06"	"4/25/2010 5:25"	"4/26/2010 19:06"	"24-Apr-10"	"28-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	630	480	NA	24339	NA	2760	NA	1643	"4/24/2010 23:20"	"4/26/2010 22:00"	1658.4788	2656.0769	"MW 024"	FALSE	"Rainfall"	2010-04-25 05:25:00	2010-04-25	2010-04-25 04:20:00	2010-04-27 03:00:00	143292417.07875	2656.077	46.6666666666667	2010-04-24 02:00:00	2010-04-26 04:00:00	41.6204625501	0	0	0	0	2556281.31709598	1947642.90826361	NA	98757668.2171414	11198946.7225157	6666619.37141063
