"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"MW 001"	"Milw Corridor Study USGS"	"33297 - 33298"	"70th St."	FALSE	"MW 001"	"4/6/2009 10:23"	"4/7/2009 1:22"	"6-Apr-09"	"Baseflow"	"Baseflow"	16.8	132.68	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-06 10:23:00	3	2009-04-06	149.48	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	0	"4/6/2009 10:23"	"4/7/2009 1:22"	NA	NA	NA	NA	NA	2009-04-06 10:23:00	2009-04-07 01:22:00	6097379.7067	139.0292	14.9833333333333	2009-04-06 10:00:00	2009-04-07 01:00:00	0	25809002410.9704	41340337565.9593
"MW 002"	"Milw Corridor Study USGS"	"33314 - 33315"	"70th St."	FALSE	"MW 002"	"4/19/2009 18:45"	"4/22/2009 7:27"	"19-Apr-09"	"Event"	"Rainfall "	32.52	148.5	0	24.26	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-19 18:45:00	3	2009-04-19	205.28	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"4/19/2009 15:15"	"4/22/2009 15:00"	994.592	597.42	"MW 002"	FALSE	"Rainfall"	2009-04-19 15:15:00	2009-04-22 15:00:00	85933255.49775	597.4216	71.75	2009-04-18 17:00:00	2009-04-21 17:00:00	30.076178988	499519897149.253	167086794865.255
"MW 003"	"Milw Corridor Study USGS"	"33329 - 33330"	"70th St."	FALSE	"MW 003"	"4/26/2009 18:16"	"4/29/2009 6:16"	"26-Apr-09"	"Event"	"Rainfall "	0	5.44	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-26 18:16:00	3	2009-04-26	5.44	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"4/25/2009 10:15"	"4/29/2009 6:16"	5480.0186	4460	"MW 003"	FALSE	"Rainfall"	2009-04-25 10:15:00	2009-04-29 06:16:00	473546806.60605	4459.972	92.0166666666667	2009-04-24 21:00:00	2009-04-28 04:00:00	68.7123908131	72946876385.7649	19026173156.222
"MW 004"	"Milw Corridor Study USGS"	"33348 - 33349"	"70th St."	FALSE	"MW 004"	"5/13/2009 20:13"	"5/15/2009 7:12"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-05-13 20:13:00	4	2009-05-13	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"5/13/2009 20:00"	"5/15/2009 15:00"	1273.0657	1845.8	"MW 004"	FALSE	"Rainfall"	2009-05-13 20:00:00	2009-05-15 15:00:00	109992643.59375	1845.77	43	2009-05-12 21:00:00	2009-05-15 01:00:00	29.159238379	0	0
"MW 005"	"Milw Corridor Study USGS"	"33386 - 33387"	"70th St."	FALSE	"MW 005"	"6/8/2009 2:58"	"6/9/2009 14:37"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-08 02:58:00	5	2009-06-08	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"6/8/2009 2:30"	"6/10/2009 0:30"	870.6187	1937.6	"MW 005"	FALSE	"Rainfall"	2009-06-08 02:30:00	2009-06-10 00:30:00	75221789.9205	1937.584	46	2009-06-07 08:00:00	2009-06-09 23:00:00	29.125547503	0	0
"MW 006"	"Milw Corridor Study USGS"	"33399 - 33400"	"70th St."	FALSE	"MW 006"	"6/15/2009 20:59"	"6/16/2009 13:38"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	5.74	0	0.94	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-15 20:59:00	5	2009-06-15	6.68	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	1	1	"6/15/2009 20:59"	"6/16/2009 13:38"	NA	NA	NA	NA	NA	2009-06-15 20:59:00	2009-06-16 13:38:00	2367761.45762	41.28012	16.65	2009-06-15 20:00:00	2009-06-16 13:00:00	0	447877553.585331	645589266.429306
"MW 009"	"Milw Corridor Study USGS"	"33445 - 33446"	"70th St."	FALSE	"MW 009"	"8/11/2009 11:25"	"8/12/2009 8:50"	"11-Aug-09"	"Baseflow"	"Baseflow"	43.46	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-08-11 11:25:00	7	2009-08-11	43.46	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"8/11/2009 11:25"	"8/12/2009 8:50"	NA	NA	NA	NA	NA	2009-08-11 11:25:00	2009-08-12 08:50:00	1878672.714	28.76372	21.4166666666667	2009-08-11 11:00:00	2009-08-12 08:00:00	0	2311988862.71122	2590866896.73475
"MW 011"	"Milw Corridor Study USGS"	"33460 - 33461"	"70th St."	FALSE	"MW 011"	"9/14/2009 10:03"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-14 10:03:00	8	2009-09-14	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/14/2009 10:03"	"9/15/2009 8:29"	NA	NA	NA	NA	NA	2009-09-14 10:03:00	2009-09-15 08:29:00	611513.9511	9.102437	22.4333333333333	2009-09-13 23:00:00	2009-09-14 01:00:00	1.88143337	0	0
"MW 012"	"Milw Corridor Study USGS"	"33472 - 33473"	"70th St."	FALSE	"MW 012"	"9/22/2009 12:35"	"9/23/2009 7:44"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-22 12:35:00	8	2009-09-22	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/22/2009 12:30"	"9/23/2009 13:45"	157.5133	567.38	"MW 012"	FALSE	"Rainfall"	2009-09-22 12:30:00	2009-09-23 13:45:00	13609298.445	567.3787	25.25	2009-09-21 21:00:00	2009-09-22 19:00:00	13.171315319	0	0
"MW 013"	"Milw Corridor Study USGS"	"33482 - 33483"	"70th St."	FALSE	"MW 013"	"9/27/2009 19:38"	"9/28/2009 10:01"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-27 19:38:00	8	2009-09-27	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/27/2009 19:25"	"9/28/2009 18:15"	243.9031	1193	"MW 013"	FALSE	"Rainfall"	2009-09-27 19:25:00	2009-09-28 18:15:00	21073505.227125	1192.972	22.8333333333333	2009-09-27 15:00:00	2009-09-28 18:00:00	21.55149294706	0	0
