Study.Sample.ID	USDA.LIDE	GLWI.FT	Site.Name	Abbrev	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	GMTbpdate	GMTepdate	Collection.Start.Date	GLWI.Sample.Arrival	cmonth	Sample.Type	Event.Type	Event.Type.2	GLWI.Event	Adenovirus.C.D.F	Adenovirus.A	Enterovirus	Human_virus	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacSp.CN.100ml	Entero.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	DO_mean	DO_max	DO_min	DO_median	DO_sd	Q_mean	Q_max	Q_min	Q_median	Q_sd	SC_mean	SC_max	SC_min	SC_median	SC_sd	TURB_mean	TURB_max	TURB_min	TURB_median	TURB_sd	WTEMP_mean	WTEMP_max	WTEMP_min	WTEMP_median	WTEMP_sd	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Enterovirus	WW.G1.Norovirus	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
MF 013	33550 - 33551	8669	Meno Falls	MF	FALSE	MF 013	11/17/2009 17:30	11/18/2009 14:38	11/17/2009 23:30	11/18/2009 20:38	17-Nov-09	21-Nov-09	Nov	Baseflow	Baseflow	Baseflow	Rain	14.35	30.14	0	44.49	450	2200	136532	16677	1020	1020	773	773	11.60433071	13.2	10.8	11.3	0.605133625	10.62968988	12.9355	9.838399	10.5937	0.651259847	1153.937008	1180	1090	1160	15.33074002	4.195275591	8.3	3.4	3.9	0.985536372	6.289370079	7.2	5.7	6.3	0.299547084	9.63	3245.411161	3271.53942	0	0	20740011.02	635182137.3	61731169.82	34439688.52
MF 014	33573 - 33574	NA	Meno Falls	MF	FALSE	MF 014	12/24/2009 23:28	12/27/2009 17:29	12/25/2009 5:28	12/27/2009 23:29	24-Dec-09	NA	Dec	Event	Mix	Mix	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	13.95694444	14.2	13.7	14	0.112335316	130.6381166	159.1727	26.08824	137.1925	25.96635985	1141.289141	2880	912	1010	406.8016237	33.4520202	82	13	32	14.4136198	0.108207071	0.4	0	0.1	0.094719321	9.7	4247.352865	0	0	0	23167345.66	493925644.4	91549061.27	35754698.48
MF 015	33592 - 33593	8696	Meno Falls	MF	FALSE	MF 015	1/20/2010 9:47	1/21/2010 4:24	1/20/2010 15:47	1/21/2010 10:24	20-Jan-10	23-Jan-10	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	17	15	76372	5111	1089	1089	1110	1110	14.20807175	14.7	14	14	0.277419503	17.15678649	17.70421	16.40079	17.26105	0.312392444	1170.58296	1180	1170	1170	2.348293656	1.933632287	2.5	1.6	2	0.138162945	0	0	0	0	0	15	4339.074243	0	682.7910556	0	21930182.1	447849541.8	85392078.94	29507365.73
MF 016	33600 - 33601	8705	Meno Falls	MF	FALSE	MF 016	1/24/2010 7:13	1/26/2010 9:06	1/24/2010 13:13	1/26/2010 15:06	24-Jan-10	28-Jan-10	Jan	Event	Mix	Mix	Rain	0	0	0	0	340	230	477166	47057	3419	3419	2441	2441	13.64173623	14.1	13.3	13.6	0.118495264	116.364269	201.0166	89.97562	113.6948	16.96379506	1151.322204	1720	957	1050	223.4775576	14.83305509	59	5.3	12	10.31323836	0.230217028	0.6	0	0.2	0.169511751	17	3373.880102	0	896.3084683	0	21058400.5	404425608.1	86757865.72	27943174.07
MF 017	33622 - 33623	8721	Meno Falls	MF	FALSE	MF 017	3/1/2010 8:59	3/2/2010 1:51	3/1/2010 14:59	3/2/2010 7:51	1-Mar-10	4-Mar-10	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	331.74	0	331.74	6	20	163866	8617	941	941	236	236	13.97586207	15.6	12.5	13.6	1.071853498	14.312055	14.78108	13.28932	14.39644	0.427886109	1371.083744	1450	1320	1360	30.25973179	5.286206897	8.5	3.2	4.2	1.873501222	1.899014778	2.8	1.1	1.9	0.296178657	12	7716.377239	0	30339.42889	33837.01113	24398050.74	285535337.1	164089133.8	38728757.64
MF 018	33660 - 33661	8747	Meno Falls	MF	FALSE	MF 018	3/9/2010 17:03	3/14/2010 14:31	3/9/2010 23:03	3/14/2010 20:31	9-Mar-10	17-Mar-10	Mar	Event	Mix	Mix	Rain	0	37.12	0	37.12	0	0	19527	1407	195	195	BLD	60	12.90808511	13.5	12.2	12.9	0.264786736	164.5058067	267.1138	35.26071	171.8344	77.81867118	893.9631206	1450	600	798.5	284.8964003	15.59261888	61	7.7	14	7.529616865	2.320638298	3.9	0.9	2.3	0.648265374	15.12	10185.78302	0	40173.61649	45389.65715	24336332.41	296156039	178405025	40474526.37
MF 020	33690 - 33691	8800	Meno Falls	MF	FALSE	MF 020	4/6/2010 22:43	4/8/2010 13:47	4/7/2010 4:43	4/8/2010 19:47	6-Apr-10	10-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	480	440	155947	10086	900	900	225	225	11.08784648	12	10.4	10.9	0.487757657	133.053074	165.4199	106.5251	141.4093	16.74067472	878.3091684	989	783	844	55.85133982	15.0021322	54	8.6	14	4.552508904	8.228358209	10.2	6.1	8.7	1.402860962	20.04	8374.10611	9901.272983	6943.853086	7934.652789	18354555.41	338985737.1	197177169.9	36413409.77
MF 021	33698 - 33699	8856	Meno Falls	MF	FALSE	MF 021	4/24/2010 23:07	4/26/2010 7:39	4/25/2010 5:07	4/26/2010 13:39	24-Apr-10	28-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	410	620	237132	25764	1298	1298	705	705	10.81487179	11.1	10.4	10.8	0.106760472	229.9410667	306.4006	108.8793	234.4559	26.66641148	603.6769231	841	436	618	52.40384247	26.52849741	78	13	22	12.10754691	9.025384615	9.8	8.1	9.1	0.371679618	17.37	4289.4524	13141.52018	2423.843674	4906.564078	16428213.16	307642247.6	169091820.2	39514065.78
MF 022	33953 - 33952	8971	Meno Falls	MF	FALSE	MF 022	5/18/2010 11:04	5/19/2010 11:53	5/18/2010 17:04	5/19/2010 17:53	18-May-10	21-May-10	May	Baseflow	Baseflow	Baseflow	Baseflow	0	0.11	0	0.11	60	40	55874	3355	360	360	240	240	9.597315436	10.6	9	9.45	0.452891393	42.58493903	50.47599	36.63482	41.76496	3.775785791	857.8456376	868	848	857	5.497749564	7.502348993	16	5.6	7	1.946323786	15.21174497	16.3	13.9	15.3	0.755605077	67.67	208655.3252	14233.0953	430.9649087	1144.182774	12505798.68	228862682.8	111680241.2	25130491.03
MF 023	33955 - 33954	9312	Meno Falls	MF	FALSE	MF 023	6/15/2010 15:14	6/16/2010 10:21	6/15/2010 21:14	6/16/2010 16:21	15-Jun-10	18-Jun-10	Jun	Event	Rainfall 	CSO	CSO	0	2.69	0	2.69	14400	4500	49360	93358	2749	2749	2824	2824	8.387878788	8.9	8	8.3	0.258306025	37.73729709	59.66999	26.08823	37.33685	4.289457773	750.4372294	917	349	767	125.0995228	28.24782609	140	16	22	18.69858294	18.71688312	19.5	18.1	18.8	0.433309588	12.89	42997.08574	9112.005812	4080.534054	67629.99096	13700812.72	298730368.6	81275048.6	26275534.55
