Study.Sample.ID	USDA.LIDE	GLWI.FT	Site.Name	Abbrev	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	GMTbpdate	GMTepdate	Collection.Start.Date	GLWI.Sample.Arrival	cmonth	Sample.Type	Event.Type	Event.Type.2	GLWI.Event	Adenovirus.C.D.F	Adenovirus.A	Enterovirus	Human_virus	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacSp.CN.100ml	Entero.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	DO_max	DO_min	Q_mean	Q_max	SC_mean	SC_max	SC_min	TURB_mean	TURB_max	WTEMP_max	WTEMP_min	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Enterovirus	WW.G1.Norovirus	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
UW 031	34589 - 34588	10478	Underwood	UW	FALSE	UW 031	2/28/2011 10:56	3/1/2011 15:45	2/28/2011 16:56	3/1/2011 21:45	28-Feb-11	1-Mar-11	Feb	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	72	215	NA	7939	2176	2176	1559	1559	20.3	12.2	8.49239631	11.20769	5083.546512	5630	4650	5.565988372	13	8	0	8.11	359587.5121	16423.53126	8923.916901	4776.280041	29076775.79	323205316.9	296917214.5	43551221.06
UW 032	34617 - 34616	10482	Underwood	UW	FALSE	UW 032	3/9/2011 5:00	3/10/2011 9:04	3/9/2011 11:00	3/10/2011 15:04	9-Mar-11	10-Mar-11	Mar	Event	Snowmelt	Snowmelt	Rain	0	0	130.72	130.72	1150	1490	NA	71671	16635	16635	3732	3732	15.7	12.7	28.61876653	41.32151	5527.952522	8770	4020	31.82522255	76	3.2	0.4	9.66	199738.4888	14584.10375	31258.5175	16730.25813	20273351.77	261220774.4	258323383.7	35035850.17
UW 033	34629 - 34628	10490	Underwood	UW	FALSE	UW 033	3/14/2011 11:48	3/16/2011 16:50	3/14/2011 17:48	3/16/2011 22:50	14-Mar-11	17-Mar-11	Mar	Event	Snowmelt	Snowmelt	Baseflow	0	0	0	0	440	610	NA	17983	3021	3021	3422	3422	21.5	12	27.8659275	52.12806	2485.347003	3010	1900	8.278391167	23	9.6	1.7	20.29	152709.2476	12832.87039	33060.65547	16703.90004	19061051.54	264183260.7	217761506.4	33318232.77
UW 034	34641 - 34640	10525	Underwood	UW	FALSE	UW 034	3/17/2011 13:15	3/19/2011 18:03	3/17/2011 19:15	3/20/2011 0:03	17-Mar-11	21-Mar-11	Mar	Event	Snowmelt	Snowmelt	NA	0	0	0	0	500	190	NA	14887	788	788	113	113	16.9	11.6	61.39360044	94.04639	1714.066456	1820	1490	15.29936407	49	8.4	2.4	36.85	139656.6435	11634.57469	30753.76721	14610.92587	19494148.04	277075867.1	189486438.6	33270618.48
UW 035	34643 - 34642	NA	Underwood	UW	FALSE	UW 035	3/20/2011 9:37	3/21/2011 8:01	3/20/2011 15:37	3/21/2011 14:01	20-Mar-11		Mar	Event	Rainfall 	Rainfall 	Rain	0	0.31	0	0.31	NA	NA	NA	NA		NA		NA	13	12.5	213.7454078	517.5336	1137.434944	1870	817	91.98490566	280	4.2	3.7	41.75	127507.385	10519.21073	28606.53424	12662.80242	19897270.77	289076200.9	163168234	33226299.48
UW 036	34655 - 34654	NA	Underwood	UW	FALSE	UW 036	3/22/2011 15:03	3/23/2011 21:49	3/22/2011 21:03	3/24/2011 3:49	22-Mar-11	NA	Mar	Event	Rainfall 	Rainfall 	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	13.1	12.3	176.5919157	546.1993	1030.929539	1330	733	32.11382114	190	4.6	2.6	41.75	118011.8895	9647.475761	26928.32145	11140.20765	20212339.39	298455301.5	142598715.7	33191661.08
UW 037	34669 - 34668	10600	Underwood	UW	FALSE	UW 037	3/29/2011 8:38	3/30/2011 10:37	3/29/2011 14:38	3/30/2011 16:37	29-Mar-11	30-Mar-11	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	146	153	NA	8275	1095	1095	3615	3615	15.7	11.7	20.51773471	21.48936	1923.141026	2010	1860	5.03516129	21	10.6	2	19.62	89297.34517	7011.333981	21853.37666	6535.854441	22750100.42	309352346.7	133753174.2	29994139.65
HW 001	33295 - 33296	6511	Honey	HW	FALSE	HW 001	4/6/2009 10:02	4/7/2009 10:31	4/6/2009 16:02	4/7/2009 16:31	6-Apr-09	10-Apr-09	Apr	Baseflow	Baseflow	Baseflow	Baseflow	153.95	62.16	32.04	248.15	46	38	172369	10184	3263	3263	2791	2791	17.8	12.1	3.404448051	4.277254	NA	#NAME?	Inf	3.471428571	12	9.2	3	3.03	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
HW 002	33312 - 33313	6516	Honey	HW	FALSE	HW 002	4/19/2009 18:42	4/22/2009 5:43	4/20/2009 0:42	4/22/2009 11:43	19-Apr-09	24-Apr-09	Apr	Event	Rainfall 	Rainfall 	Rain	0	147.47	0	147.47	630	410	186429	30116	4496	4496	4170	4170	12.6	11.3	44.36972226	171.6795	1249.588402	2030	368	19.340625	74	9	5.6	1.26	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
HW 003	33344 - 33345	6746	Honey	HW	FALSE	HW 003	5/13/2009 20:17	5/15/2009 7:07	5/14/2009 2:17	5/15/2009 13:07	13-May-09	16-May-09	May	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	4040	3150	258287	136511	7455	7455	4620	4620	11.6	10	146.0711811	1131.024	165.2089552	252	92	43.24873239	350	17.3	12.5	3.5	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
HW 005	33384 - 33385	6919	Honey	HW	FALSE	HW 005	6/8/2009 2:51	6/8/2009 21:34	6/8/2009 8:51	6/9/2009 3:34	8-Jun-09	12-Jun-09	Jun	Event	Rainfall 	Rainfall 	Rain	0	0	291.85	291.85	7200	3200	2210649	639176	BLD	60	1620	1620	12	10.3	117.8174188	888.609	136.3	156	124	16.20655738	32	15.6	12.6	1.17	19556.85832	31807.34947	7957.462528	14532.71042	18026743.53	753349938.4	70332659.43	43104321.78
HW 006	33397 - 33398	7004	Honey	HW	FALSE	HW 006	6/15/2009 20:51	6/16/2009 11:42	6/16/2009 2:51	6/16/2009 17:42	15-Jun-09	15-Jun-09	Jun	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	870	660	235521	9995	244	244	611	611	11.1	7.7	1.115547407	1.18959	NA	#NAME?	Inf	3.236516854	8	19	15	1.12	37001.23396	52181.0403	9407.65147	11386.47968	22176502.84	798561660	65481596.53	43669539.8
HW 009	33443 - 33444	7772	Honey	HW	FALSE	HW 009	8/11/2009 12:12	8/12/2009 8:29	8/11/2009 18:12	8/12/2009 14:29	11-Aug-09	14-Aug-09	Aug	Baseflow	Baseflow	Baseflow	Baseflow	7.21	0	0	7.21	740	1070	62578	30118	263	263	68	68	8.6	7.4	2.998348346	4.038744	1265.450644	1330	1190	4.063809524	23	23.3	18.2	3.59	20079.71819	113.6581952	308.69775	6094.670438	17969700.54	625929070.7	35102882.4	31269553.23
HW 011	33462 - 33463	8304	Honey	HW	FALSE	HW 011	9/14/2009 9:59	9/15/2009 8:29	9/14/2009 15:59	9/15/2009 14:29	14-Sep-09	17-Sep-09	Sep	Baseflow	Baseflow	Baseflow	Baseflow	24.81	0	0	24.81	440	320	243017	23683	1819	1819	360	360	9.8	6.2	0.953136108	1.33407	1659.074074	1700	1620	2.044444444	6.4	19.6	18.4	0.98	53411.23903	1672.512009	2097.631938	10425.38827	19079763.26	790980925	41841887.09	40616675.55
HW 012	33474 - 33475	8458	Honey	HW	FALSE	HW 012	9/22/2009 12:39	9/23/2009 2:18	9/22/2009 18:39	9/23/2009 8:18	22-Sep-09		Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0		NA		NA		NA		NA	8.5	7.6	37.48868155	147.2808	352.1402439	577	164	83.20121951	310	20	18.7	5.02	35909.90762	4247.84193	1505.593248	8036.6168	19456305.37	760641746.1	39755258.42	37615094.14
HW 013	33484 - 33485	NA	Honey	HW	FALSE	HW 013	9/27/2009 19:41	9/28/2009 6:14	9/28/2009 1:41	9/28/2009 12:14	27-Sep-09	26-Sep-09	Sep	Event	Rainfall 	Rainfall 	NA	0	0	0	0	22000	16000	1397199	121857	8553	8553	3539	3539	9	8.7	55.06113294	195.2244	307.2619048	608	78	115.2396694	290	17.8	15.4	5.26	24489.09015	5928.421096	1119.247452	6477.779802	19702024.89	740843353.9	38393590.29	35656356.68
HW 014	33494 - 33495	NA	Honey	HW	FALSE	HW 014	10/1/2009 20:29	10/2/2009 9:23	10/2/2009 2:29	10/2/2009 15:23	1-Oct-09	NA	Oct	Event	Rainfall 	Rainfall 	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	10.1	9.5	75.68208923	199.5487	255.1103896	470	107	47.925	82	14.2	13.3	1.76	15786.3733	7209.030358	824.8501302	5289.938648	19889264.32	725756885.5	37355992.75	34163789.48
HW 015	33530 - 33531	8657	Honey	HW	FALSE	HW 015	10/22/2009 9:11	10/24/2009 1:38	10/22/2009 15:11	10/24/2009 7:38	22-Oct-09	25-Oct-09	Oct	Event	Rainfall 	Rainfall 	Rain	0.81	0	0	0.81	3700	3400	611698	125457	4293	4293	5788	5788	11.4	10	81.43092814	240.7742	243.8268041	380	112	33.50869565	74	11.7	9	1.64	2374.084707	7279.96085	160.7701263	1668.404591	20255957.09	725543111.5	38292880.28	32313799.07
HW 016	33556 - 33557	8666	Honey	HW	FALSE	HW 016	11/17/2009 17:43	11/18/2009 15:26	11/17/2009 23:43	11/18/2009 21:26	17-Nov-09	21-Nov-09	Nov	Baseflow	Baseflow	Baseflow	Rain	0	0	0	0	25600	10600	1726738	687646	6128	6128	6848	6848	11.5	9.6	11.86976961	34.55027	1355.570881	1650	372	17.39616858	150	9.7	7.5	1.69	3244.561928	3270.267969	0	0	20740350.06	635091078.8	61746859.87	34440684.91
HW 017	33579 - 33580	NA	Honey	HW	FALSE	HW 017	12/24/2009 22:00	12/27/2009 4:49	12/25/2009 4:00	12/27/2009 10:49	24-Dec-09	NA	Dec	Event	Mix	Mix	NA	0.68	0	0	0.68	NA	NA	NA	NA	NA	NA	NA	NA	13.3	12.3	93.93344745	540.1531	2016.819149	4660	510	24.19954338	140	2.6	1	2.01	4233.46029	0	0	0	23160567.58	493520062.9	91595065.56	35760141.97
HW 018	33596 - 33597	8695	Honey	HW	FALSE	HW 018	1/20/2010 12:23	1/21/2010 11:15	1/20/2010 18:23	1/21/2010 17:15	20-Jan-10	23-Jan-10	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	147	49	274039	36537	5848	5848	11368	11368	15.7	12.3	1.590901098	1.653586	3140.509091	3200	3080	4.181090909	9.2	1.8	1	1.6	4312.215469	0	688.7326746	0	21905922.75	446641169.8	85430085.13	29463838.46
HW 019	33604 - 33605	8704	Honey	HW	FALSE	HW 019	1/24/2010 5:08	1/25/2010 11:04	1/24/2010 11:08	1/25/2010 17:04	24-Jan-10	28-Jan-10	Jan	Event	Mix	Mix	Rain	0	0	0	0	1600	820	176010	137340	9975	9975	578	578	13.5	12.9	55.08276685	139.9926	1901.727019	2620	1190	44.90702247	210	2.3	1.1	1.57	3395.401556	0	891.5475556	0	21077839.09	405393854.9	86727412.04	27978051.69
HW 020	33614 - 33615	8720	Honey	HW	FALSE	HW 020	3/1/2010 9:04	3/2/2010 9:19	3/1/2010 15:04	3/2/2010 15:19	1-Mar-10	4-Mar-10	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	200	310	326590	51731	9066	9066	8636	8636	19.3	12	3.548462619	6.243196	5016.460481	5380	4630	6.163917526	11	4.8	0.8	2.44	7717.405815	0	30343.5251	33841.82312	24398966.26	285538643.2	164099942.3	38731111.11
HW 021	33662 - 33663	8750	Honey	HW	FALSE	HW 021	3/9/2010 17:23	3/14/2010 10:46	3/9/2010 23:23	3/14/2010 16:46	9-Mar-10	17-Mar-10	Mar	Event	Mix	Mix	Rain	0	0	0	0	790	34	119751	41753	3225	3225	240	240	13.9	11.8	32.1651142	132.9029	1644.568902	2900	781	40.19628253	400	5.8	2.8	6.65	10189.89732	0	40190.00134	45408.90514	24333390.07	296177106.3	178414258.7	40472528.77
HW 023	33682 - 33683	8802	Honey	HW	FALSE	HW 023	4/5/2010 22:28	4/6/2010 16:35	4/6/2010 4:28	4/6/2010 22:35	5-Apr-10	10-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	3400	1730	1527018	48806	4890	4890	1005	1005	11.2	9.8	172.6361161	1094.465	589.2522936	1020	152	139.9447005	480	11.8	9.2	3.4	8615.102273	9375.551267	9284.896843	10600.80966	18568610.64	337453095.4	196505417	36558735.02
HW 024	33716 - 33717	8946	Honey	HW	FALSE	HW 024	5/11/2010 4:50	5/12/2010 6:58	5/11/2010 10:50	5/12/2010 12:58	11-May-10	14-May-10	May	Event	Rainfall 	Rainfall 	NA	0	0	0	0	2500	1800	1315096	131051	4792	4792	5764	5764	11.2	10.4	92.74401268	305.911	731.5031847	1240	174	26.88038278	110	9.7	8.7	1.95	78446.55749	14584.35178	1705.090236	4526.899606	14265536.16	262320554	134013449.1	35760829.94
HW 025	33903 - 33902	NA	Honey	HW	FALSE	HW 025	5/13/2010 0:21	5/14/2010 6:26	5/13/2010 6:21	5/14/2010 12:26	13-May-10		May	Event	Rainfall 	Rainfall 	Rain	0	0	0	0		NA		NA		NA		NA	11.3	10.5	142.488614	593.5425	762.5558659	1300	179	31.65480226	96	12.1	9	1.95	110967.6109	14496.62166	1386.863602	3682.02935	13826022.62	253964087.4	128435487.9	33105787.39
HW 026	33905 - 33904	8974	Honey	HW	FALSE	HW 026	5/18/2010 7:44	5/19/2010 6:13	5/18/2010 13:44	5/19/2010 12:13	19-May-10	21-May-10	May	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	70	170	BLD	9388	825	825	1482	1482	12.2	8.7	6.967107833	7.623108	1929.148148	1970	1900	1.119702602	1.7	17.7	10.7	8.24	206164.2449	14239.81534	455.340752	1208.898994	12539464.98	229502779.8	112107507.4	25333864.65
HW 027	33907 - 33906	9029	Honey	HW	FALSE	HW 027	6/2/2010 17:36	6/3/2010 10:19	6/2/2010 23:36	6/3/2010 16:19	2-Jun-10	4-Jun-10	Jun	Event	Rainfall 	Rainfall 	Rain	0	0	926.09	926.09	23000	6500	1686507	426242	2534	2534	1310	1310	9.5	8.7	169.7614543	1319.552	697.64	1150	89	65.875	280	17.7	15.8	3.05	132166.7887	8637.069683	0	49011.68631	11638307.64	261070877.9	75704428.47	19085023.89
HW 028	33909 - 33908	9313	Honey	HW	FALSE	HW 028	6/15/2010 15:11	6/16/2010 5:45	6/15/2010 21:11	6/16/2010 11:45	15-Jun-10	18-Jun-10	Jun	Event	Rainfall 	CSO	CSO	0	0	0	0	TNTC	24500	221617	335050	3737	3737	6461	6461	9.1	8.7	244.2630261	1748.613	602.36	947	71	75.73563218	240	19	17.4	4.49	43004.96139	9110.714311	4079.04734	67633.21582	13699825.22	298726010.8	81264575.68	26271668.77
HW 030	33912 - 33911	9453	Honey	HW	FALSE	HW 030	7/13/2010 8:51	7/14/2010 8:15	7/13/2010 14:51	7/14/2010 14:15	13-Jul-10	16-Jul-10	Jul	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	690	400	5644	5662	368	368	90	90	8.7	6.6	1.754803043	2.151541	1821.850534	1850	1780	1.398932384	6.1	23.1	19.3	1.92	14852.20545	11267.05326	16740.33278	25315.24662	15070069.38	383876046.3	75017943.73	26228813.82
HW 031	34568 - 34567	9496	Honey	HW	FALSE	HW 031	7/15/2010 7:14	7/15/2010 15:23	7/15/2010 13:14	7/15/2010 21:23	15-Jul-10	16-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	27000	9800	22725	145109	8385	8385	2378	2378	8.3	8.1	217.0248378	247.2369	687.877551	835	465	28.05102041	68	23.8	22	28.72	15579.47909	10890.09803	17372.53209	22388.13848	14752674.35	390760492.1	69475464.04	24419978.49
HW 032	33914 - 33913	9574	Honey	HW	FALSE	HW 032	7/22/2010 10:15	7/22/2010 17:39	7/22/2010 16:15	7/22/2010 23:39	22-Jul-10	23-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	1457.13	1457.13	43000	25000	138238	485815	10350	10350	4163	4163	8.6	8	265.658331	1090.845	244.4157303	527	86	126.1235955	270	23.7	21.7	6.41	16512.01946	59028.69305	20019.96815	135044.2343	11460058.52	352502078.3	42230311.19	15636763.81
HW 033	33916 - 33915	9611	Honey	HW	FALSE	HW 033	7/23/2010 9:55	7/26/2010 4:27	7/23/2010 15:55	7/26/2010 10:27	23-Jul-10	26-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	343.12	343.12	6000	3400	8295	51784	5560	5560	5793	5793	8.6	8.1	116.9327824	596.1523	993.5682103	1470	232	19.17264743	260	23.6	19.4	6.41	17181.12636	61746.25811	20162.80307	139506.174	11297007.74	349068741.7	40597561.04	15397854.93
HW 034	33918 - 33917	9827	Honey	HW	FALSE	HW 034	8/4/2010 10:39	8/5/2010 8:50	8/4/2010 16:39	8/5/2010 14:50	4-Aug-10	5-Aug-10	Aug	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	580	920	4139	19789	2648	2648	1688	1688	9.4	7.7	6.59221018	11.05797	1332.846154	1610	1080	1.630769231	3	22.4	19.7	5.82	32115.90099	39661.62548	19166.56565	40653.34613	13161584.88	339583310.3	47464020.39	24563436.37
HW 036	34001 - 34000	9889	Honey	HW	FALSE	HW 036	8/20/2010 18:43	8/21/2010 8:55	8/21/2010 0:43	8/21/2010 14:55	20-Aug-10	23-Aug-10	Aug	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	11000	20500	435646	381479	25580	25580	8525	8525	8.1	6.6	74.93398532	341.642	372.9532164	622	120	105.1358025	300	23.6	22	3.32	322.0203456	319.0156888	2714.249145	8159.804906	9838324.348	331474246	35507065.86	23117113.79
HW 037	34071 - 34070	10124	Honey	HW	FALSE	HW 037	10/13/2010 12:41	10/14/2010 10:56	10/13/2010 18:41	10/14/2010 16:56	13-Oct-10	14-Oct-10	Oct	Baseflow	Baseflow	Baseflow	Baseflow	0	0	2.73	2.73	20	150	76760	8342	255	255	BLD	60	10.2	7.2	1.052604546	1.121065	1557.384615	1570	1540	1.120384615	2.2	15.1	11.8	1.06	187.0653652	115.4535463	2037.231242	28003.10305	14655089.64	490523270.9	45718256.18	27767254.64
HW 038	34097 - 34096	10329	Honey	HW	FALSE	HW 038	11/10/2010 9:37	11/11/2010 7:47	11/10/2010 15:37	11/11/2010 13:47	10-Nov-10	11-Nov-10	Nov	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	240	210	154729	5039	BLD	60	363	363	11	8.6	1.072058888	1.121065	1370.75188	1420	1340	1.090225564	2	9.6	8.5	1.07	28485.36656	16022.92076	25439.66794	128388.6643	12653445.56	405250614.5	79819183.83	29532882.24
HW 039	34115 - 34114	10339	Honey	HW	FALSE	HW 039	11/22/2010 7:32	11/23/2010 6:15	11/22/2010 13:32	11/23/2010 12:15	22-Nov-10	23-Nov-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	26800	18600	17568593	735921	29592	29592	27202	27202	10.3	8.4	37.26377542	132.903	349.2857143	1460	147	60.31845018	380	12.3	7.6	0.93	59346.42112	1341.25281	9922.559185	303297.9383	14529144.69	279270100.9	129761927.3	44628341.33
HW 040	34131 - 34130	10341	Honey	HW	FALSE	HW 040	11/29/2010 20:46	11/30/2010 18:10	11/30/2010 2:46	12/1/2010 0:10	29-Nov-10	1-Dec-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	9000	10400	7832827	331233	44008	44008	47981	47981	11	10.3	21.73788342	45.46131	468.1785714	1340	241	15.41150794	43	8.5	5.5	1.1	36250.52697	1393.907565	5675.947544	293906.3946	18447534.32	345081141.8	105775155.3	33286937.87
HW 041	34325 - 34324	10359	Honey	HW	FALSE	HW 041	12/11/2010 16:26	12/12/2010 18:19	12/11/2010 22:26	12/13/2010 0:19	11-Dec-10	13-Dec-10	Dec	Event	Mix	Mix	Rain	0	0	0	0	2700	3500	4901986	327318	31290	31290	19862	19862	13.4	11.7	74.69198879	202.46	3303.422581	7120	681	88.30944625	330	3.4	1.1	1.04	47789.05189	1103.152807	0	211964.3759	24984607.25	433227344.6	85249173.57	22983379.9
HW 042	34331 - 34330	10364	Honey	HW	FALSE	HW 042	12/19/2010 12:44	12/20/2010 9:07	12/19/2010 18:44	12/20/2010 15:07	19-Dec-10	20-Dec-10	Dec	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	190	280	641767	53372	16043	16043	28381	28381	13.4	12.3	1.781696293	2.007288	2561.510204	2640	2510	2.025714286	2.4	0	0	1.2	234505.8587	62.7744709	1988.036259	116022.4761	27716859.17	407008015	127234825.1	37574584.44
HW 043	34558 - 34557	10454	Honey	HW	FALSE	HW 043	1/5/2011 10:01	1/6/2011 8:20	1/5/2011 16:01	1/6/2011 14:20	5-Jan-11	6-Jan-11	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	210	130	387152	105559	10058	10058	12584	12584	14.5	12.8	1.688866213	2.303178	4188.470149	4860	3790	5.920149254	9	0	0	1.56	609847.181	474.8929398	15039.62312	877717.5494	19587205.94	231180289.7	171560072.3	35999625.01
HW 044	34607 - 34606	10469	Honey	HW	FALSE	HW 044	2/16/2011 14:05	2/19/2011 21:22	2/16/2011 20:05	2/20/2011 3:22	16-Feb-11	21-Feb-11	Feb	Event	Mix	Mix	Baseflow	0	0	0	0	0	100	200292	60030	6983	6983	390	390	14.5	12.6	43.30632688	132.903	3782.008412	6120	1990	77.13390011	370	4.3	0.4	7.15	186328.2165	7773.882768	0	0	25141838.08	286990008.1	215753558.7	40441182.59
HW 045	34591 - 34590	10477	Honey	HW	FALSE	HW 045	2/28/2011 11:03	3/1/2011 14:43	2/28/2011 17:03	3/1/2011 20:43	28-Feb-11	1-Mar-11	Feb	Baseflow	Baseflow	Baseflow	Baseflow	0.02	0	0.62	0.64	182	108	2813767	26091	160716	160716	199107	199107	16.1	12.6	6.247654582	11.67652	6630.243902	8180	5970	23.85152439	57	5.8	0.6	5.2	359498.7353	16422.50968	8936.321074	4782.919032	29071886.55	323170892	296895780.3	43546491.8
HW 046	34619 - 34618	10480	Honey	HW	FALSE	HW 046	3/9/2011 4:57	3/10/2011 8:31	3/9/2011 10:57	3/10/2011 14:31	9-Mar-11	10-Mar-11	Mar	Event	Snowmelt	Snowmelt	Rain	0	0	5.89	5.89	1010	880	918152	73483	36580	36580	27486	27486	13.6	12.9	37.16673734	76.39618	4412.145015	7100	3160	95.2133758	220	2.6	1.5	6.67	199776.536	14584.54157	31253.20143	16727.41284	20275447.16	261235528	258332569.8	35037877
HW 047	34631 - 34630	10489	Honey	HW	TRUE	HW 047	3/14/2011 15:47	3/17/2011 8:02	3/14/2011 21:47	3/17/2011 14:02	14-Mar-11	17-Mar-11	Mar	Event	Snowmelt	Snowmelt	Baseflow	0	0	0	0	380	340	386563	36685	4943	4943	3788	3788	16.8	11.8	20.12902955	34.55029	2328.816645	3080	1610	17.38146214	100	7.7	2.4	15.77	152001.38	12767.88453	32935.54853	16590.39407	19084539.19	264882451.3	216228095.6	33315650.55
HW 048	34645 - 34644	10524	Honey	HW	TRUE	HW 047	3/17/2011 13:20	3/19/2011 7:47	3/17/2011 19:20	3/19/2011 13:47	17-Mar-11	21-Mar-11	Mar	Event	Snowmelt	Snowmelt	Rain	0	0	0	0	530	70	416896	54152	8458	8458	5285	5285	15.3	11.6	25.66366737	49.0058	2021.666667	2580	1420	16.4584022	83	7.4	3.7	15.09	139641.8345	11633.21515	30751.14991	14608.55127	19494639.42	277090494.5	189454358.9	33270564.46
HW 049	34657 - 34656	10594	Honey	HW	FALSE	HW 049	3/22/2011 13:45	3/23/2011 19:58	3/22/2011 19:45	3/24/2011 1:58	22-Mar-11	24-Mar-11	Mar	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	180	730	297429	51945	8295	8295	3533	3533	13.6	12.8	124.8100782	326.3384	1041.482094	1630	483	56.01834862	240	4.5	2.4	41.78	118242.909	9668.684534	26969.15133	11177.25144	20204673.96	298227113.7	143099159.4	33192503.81
HW 050	34673 - 34672	10599	Honey	HW	FALSE	HW 050	3/29/2011 8:46	3/30/2011 10:37	3/29/2011 14:46	3/30/2011 16:37	29-Mar-11	30-Mar-11	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	102	44	319762	16158	19590	19590	4845	4845	14.7	12.1	3.971922981	4.784716	2943.032258	2980	2880	4.77483871	17	8.6	1.6	6.58	89273.65086	7009.158722	21849.18898	6532.055078	22752868.47	309353911.8	133768563.8	29990186.04
MW 001	33297 - 33298	6510	70th St.	MW	FALSE	MW 001	4/6/2009 10:23	4/7/2009 1:22	4/6/2009 16:23	4/7/2009 7:22	6-Apr-09	10-Apr-09	Apr	Baseflow	Baseflow	Baseflow	Baseflow	16.8	132.68	0	149.48	26	15	NA	29704	NA	2793	NA	3046	20.6	13.4	111.6802183	123.8719	1445.944444	1470	1420	1.172777778	2.4	7.4	4.9	103.12	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
MW 002	33314 - 33315	6520	70th St.	MW	FALSE	MW 002	4/19/2009 18:45	4/22/2009 7:27	4/20/2009 0:45	4/22/2009 13:27	19-Apr-09	24-Apr-09	Apr	Event	Rainfall 	Rainfall 	Rain	32.52	148.5	24.26	205.28	160	260	NA	7020	NA	1753	NA	2803	13	10.2	403.1013469	597.4216	1166.451303	1330	821	12.76652949	52	11	6.3	39.83	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
MW 003	33329 - 33330	6676	70th St.	MW	FALSE	MW 003	4/26/2009 18:16	4/29/2009 6:16	4/27/2009 0:16	4/29/2009 12:16	26-Apr-09	1-May-09	Apr	Event	Rainfall 	CSO	CSO	0	5.44	0	5.44	170	210	NA	12010	NA	10029	383	383	10.3	8.9	1373.21622	3580.74	685.6597222	793	475	37.06527778	140	13.7	10.2	137.87	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
MW 004	33348 - 33349	6747	70th St.	MW	FALSE	MW 004	5/13/2009 20:13	5/15/2009 7:12	5/14/2009 2:13	5/15/2009 13:12	13-May-09	16-May-09	May	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	2570	2080	NA	78077	NA	6461	NA	8587	9.8	8.6	779.0710652	1845.77	649.5785714	819	394	54.53571429	170	16.6	14.4	165.03	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
MW 005	33386 - 33387	6921	70th St.	MW	FALSE	MW 005	6/8/2009 2:58	6/9/2009 14:37	6/8/2009 8:58	6/9/2009 20:37	8-Jun-09	12-Jun-09	Jun	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	6900	4500	NA	123788	NA	12219	NA	5489	9.7	8.5	556.4106932	1937.584	618.9647059	944	264	21.45454545	27	17	12.5	38.81	19567.80014	31820.12866	7958.372145	14530.73698	18029346.43	753378297	70329616.65	43104676.31
