"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"UW 020"	"34065 - 34064"	9764	"Underwood"	"UW"	FALSE	"UW 020"	"9/1/2010 3:24"	"9/1/2010 15:17"	"9/1/2010 9:24"	"9/1/2010 21:17"	"1-Sep-10"	"2-Sep-10"	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	21000	44000	NA	368401	NA	14577	NA	9054	"9/1/2010 2:45"	"9/1/2010 17:45"	32.3346	204.522	"UW 020"	FALSE	"Rainfall"	2010-09-01 09:24:00	2010-09-01	2010-09-01 07:45:00	2010-09-01 22:45:00	2793768.27975	204.522	15	2010-08-31 22:00:00	2010-09-01 22:00:00	13.181227893	0	0	0	0	1661324.86361681	3480871.14281617	NA	29144463.8610141	1153196.78747344	716268.348342217
"UW 021"	"34123 - 34122"	10039	"Underwood"	"UW"	FALSE	"UW 021"	"9/13/2010 8:52"	"9/14/2010 7:41"	"9/13/2010 14:52"	"9/14/2010 13:41"	"13-Sep-10"	"14-Sep-10"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	1.55	0.61	2.16	360	630	NA	44941	"BLD1:1"	60	"BLD1:1"	60	"9/13/2010 8:52"	"9/14/2010 7:41"	NA	NA	NA	NA	NA	2010-09-13 14:52:00	2010-09-13	2010-09-13 13:52:00	2010-09-14 12:41:00	437179.19118	5.849531	22.8166666666667	2010-09-13 13:00:00	2010-09-14 12:00:00	0	0	19.188280939281	7.55151701481381	26.7397979540948	4456.63299234913	7799.10773661098	NA	556348.73141434	742.772165391522	742.772165391522
"UW 022"	"34073 - 34072"	10122	"Underwood"	"UW"	FALSE	"UW 022"	"10/13/2010 8:08"	"10/14/2010 7:23"	"10/13/2010 14:08"	"10/14/2010 13:23"	"13-Oct-10"	"14-Oct-10"	"Oct"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	20	250	NA	10058	NA	1518	NA	435	"10/13/2010 8:08"	"10/14/2010 7:23"	NA	NA	NA	NA	NA	2010-10-13 14:08:00	2010-10-13	2010-10-13 13:08:00	2010-10-14 12:23:00	211824.4202135	2.799743	23.25	2010-10-13 05:00:00	2010-10-14 04:00:00	0.44030056	0	0	0	0	119.9639922325	1499.54990290626	NA	60329.8916937245	9105.26701044679	2609.21683105689
"UW 023"	"34079 - 34078"	10149	"Underwood"	"UW"	FALSE	"UW 023"	"10/23/2010 23:42"	"10/24/2010 20:57"	"10/24/2010 5:42"	"10/25/2010 2:57"	"23-Oct-10"	"25-Oct-10"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	3.67	3.67	6000	26500	NA	632168	NA	4973	NA	1245	"10/23/2010 23:00"	"10/25/2010 0:30"	44.4407	157.4324	"UW 023"	FALSE	"Rainfall"	2010-10-24 05:42:00	2010-10-24	2010-10-24 04:00:00	2010-10-25 05:30:00	3839670.5568	157.4324	25.5	2010-10-23 13:00:00	2010-10-24 17:00:00	22.963473391	0	0	399.02941898306	399.02941898306	652364.172724349	2881275.09619921	NA	68733959.0571344	540701.171826365	135365.565840302
"UW 024"	"34087 - 34086"	10214	"Underwood"	"UW"	FALSE	"UW 024"	"10/26/2010 6:34"	"10/26/2010 23:20"	"10/26/2010 12:34"	"10/27/2010 5:20"	"26-Oct-10"	"26-Oct-10"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0.26	0	0.26	36000	24000	NA	635639	NA	4191	NA	2634	"10/26/2010 5:15"	"10/27/2010 5:00"	28.3484	156.9754	"UW 024"	FALSE	"Rainfall"	2010-10-26 12:34:00	2010-10-26	2010-10-26 10:15:00	2010-10-27 10:00:00	2449303.04145	156.9754	23.75	2010-10-26 06:00:00	2010-10-26 17:00:00	11.325265382	0	18.0327000053353	0	18.0327000053353	2496835.38535411	1664556.92356941	NA	44085720.7641973	290673.252778308	182685.122361743
"UW 025"	"34095 - 34094"	10326	"Underwood"	"UW"	FALSE	"UW 025"	"11/10/2010 9:28"	"11/11/2010 7:43"	"11/10/2010 15:28"	"11/11/2010 13:43"	"10-Nov-10"	"11-Nov-10"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	7.77	0	7.77	360	340	NA	13690	NA	278	NA	180	"11/10/2010 9:28"	"11/11/2010 7:43"	NA	NA	NA	NA	NA	2010-11-10 15:28:00	2010-11-10	2010-11-10 15:28:00	2010-11-11 13:43:00	211201.5735	2.933949	22.25	2010-11-10 15:00:00	2010-11-11 13:00:00	0	0	46.4689710662467	0	46.4689710662467	2153.00252044386	2033.39126930809	NA	81873.9014024347	1662.59639078721	1076.50126022193
"UW 026"	"34113 - 34112"	10336	"Underwood"	"UW"	FALSE	"UW 026"	"11/22/2010 7:32"	"11/23/2010 0:40"	"11/22/2010 13:32"	"11/23/2010 6:40"	"22-Nov-10"	"23-Nov-10"	"Nov"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	20300	23300	NA	675808	NA	40018	NA	6552	"11/22/2010 5:00"	"11/23/2010 7:00"	17.9349	123.4843	"UW 026"	FALSE	"Rainfall"	2010-11-22 13:32:00	2010-11-22	2010-11-22 11:00:00	2010-11-23 13:00:00	1549573.58205	123.4843	26	2010-11-22 07:00:00	2010-11-22 23:00:00	8.737352961	0	0	0	0	890744.459340293	1022381.57155807	NA	29653804.5112239	1755951.31891034	287495.453083626
"UW 027"	"34129 - 34128"	10340	"Underwood"	"UW"	FALSE	"UW 027"	"11/29/2010 19:31"	"11/30/2010 17:26"	"11/30/2010 1:31"	"11/30/2010 23:26"	"29-Nov-10"	"1-Dec-10"	"Nov"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	7200	7300	NA	189173	NA	15907	NA	3650	"11/29/2010 17:45"	"11/30/2010 21:15"	11.7782	23.893	"UW 027"	FALSE	"Rainfall"	2010-11-30 01:31:00	2010-11-30	2010-11-29 23:45:00	2010-12-01 03:15:00	1017648.2814	23.89296	27.5	2010-11-29 23:00:00	2010-11-30 08:00:00	6.91944878	0	0	0	0	207479.449936917	210361.108963819	NA	5451320.83096061	458385.501409241	105180.554481909
"UW 028"	"34327 - 34326"	10360	"Underwood"	"UW"	FALSE	"UW 028"	"12/11/2010 16:15"	"12/12/2010 16:43"	"12/11/2010 22:15"	"12/12/2010 22:43"	"11-Dec-10"	"13-Dec-10"	"Dec"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	2900	3600	NA	211968	NA	14930	NA	4763	"12/11/2010 11:15"	"12/12/2010 20:10"	71.3837	147.0614	"UW 028"	FALSE	"Mix"	2010-12-11 22:15:00	2010-12-11	2010-12-11 17:15:00	2010-12-13 02:10:00	6173022.308675	147.0614	32.9166666666667	2010-12-11 20:00:00	2010-12-12 20:00:00	47.217423882	0	0	0	0	506921.524598857	629281.892605477	NA	37052117.8366105	2609771.84905549	832574.904022191
"UW 029"	"34329 - 34328"	10366	"Underwood"	"UW"	FALSE	"UW 029"	"12/19/2010 12:55"	"12/20/2010 3:01"	"12/19/2010 18:55"	"12/20/2010 9:01"	"19-Dec-10"	"20-Dec-10"	"Dec"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	160	330	NA	82741	NA	3231	NA	902	"12/19/2010 12:55"	"12/20/2010 3:01"	NA	NA	NA	NA	NA	2010-12-19 18:55:00	2010-12-19	2010-12-19 18:55:00	2010-12-20 09:01:00	182817.162294	3.949667	14.1	2010-12-19 18:00:00	2010-12-20 09:00:00	0	0	0	0	0	828.288886250234	1708.34582789111	NA	428334.067107692	16726.2586967157	4669.4785962357
"UW 030"	"34560 - 34559"	10455	"Underwood"	"UW"	FALSE	"UW 030"	"1/5/2011 10:33"	"1/6/2011 8:21"	"1/5/2011 16:33"	"1/6/2011 14:21"	"5-Jan-11"	"6-Jan-11"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	1.68	0	1.68	170	300	NA	26760	NA	637	NA	457	"1/5/2011 10:33"	"1/6/2011 8:21"	NA	NA	NA	NA	NA	2011-01-05 16:33:00	2011-01-05	2011-01-05 16:33:00	2011-01-06 14:21:00	372064.4316	7.991138	21.8	2011-01-05 21:00:00	2011-01-05 23:00:00	1.15453204	0	17.6999616056876	0	17.6999616056876	1791.06754343267	3160.70742958706	NA	281935.102719166	6711.23544215653	4814.81098440429
"UW 031"	"34589 - 34588"	10478	"Underwood"	"UW"	FALSE	"UW 031"	"2/28/2011 10:56"	"3/1/2011 15:45"	"2/28/2011 16:56"	"3/1/2011 21:45"	"28-Feb-11"	"1-Mar-11"	"Feb"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	72	215	NA	7939	NA	2176	NA	1559	"2/28/2011 10:56"	"3/1/2011 15:45"	NA	NA	NA	NA	NA	2011-02-28 16:56:00	2011-02-28	2011-02-28 16:56:00	2011-03-01 21:45:00	879889.06179	11.65099	28.8166666666667	2011-02-28 04:00:00	2011-02-28 06:00:00	0.175473554	0	0	0	0	1793.92921780941	5356.87196984754	NA	197805.611947068	54216.5274715733	38843.5507022898
"UW 032"	"34617 - 34616"	10482	"Underwood"	"UW"	FALSE	"UW 032"	"3/9/2011 5:00"	"3/10/2011 9:04"	"3/9/2011 11:00"	"3/10/2011 15:04"	"9-Mar-11"	"10-Mar-11"	"Mar"	"Event"	"Snowmelt"	"Snowmelt"	"Rain"	0	0	130.72	130.72	1150	1490	NA	71671	NA	16635	NA	3732	"3/9/2011 2:15"	"3/10/2011 9:15"	34.4646	41.3215	"UW 032"	FALSE	"Snowmelt"	2011-03-09 11:00:00	2011-03-09	2011-03-09 08:15:00	2011-03-10 15:15:00	2977728.3705	41.32151	31	2011-03-09 07:00:00	2011-03-10 01:00:00	20.28545169	0	0	11022.2943815836	11022.2943815836	96967.8590791088	125636.617415541	NA	6043289.93744244	1402661.16154867	314681.782681073
"UW 033"	"34629 - 34628"	10490	"Underwood"	"UW"	FALSE	"UW 033"	"3/14/2011 11:48"	"3/16/2011 16:50"	"3/14/2011 17:48"	"3/16/2011 22:50"	"14-Mar-11"	"17-Mar-11"	"Mar"	"Event"	"Snowmelt"	"Snowmelt"	"Baseflow"	0	0	0	0	440	610	NA	17983	NA	3021	NA	3422	"3/14/2011 11:30"	"3/16/2011 16:50"	59.3546	46.9588	"UW 033"	FALSE	"Snowmelt"	2011-03-14 17:48:00	2011-03-14	2011-03-14 16:30:00	2011-03-16 21:50:00	5128251.7965	47.51154	53.3333333333333	2011-03-14 16:00:00	2011-03-16 21:00:00	0	0	0	0	0	63895.0045389211	88581.7108380497	NA	2611417.87868959	438697.292527456	496928.876209518
"UW 034"	"34641 - 34640"	10525	"Underwood"	"UW"	FALSE	"UW 034"	"3/17/2011 13:15"	"3/19/2011 18:03"	"3/17/2011 19:15"	"3/20/2011 0:03"	"17-Mar-11"	"21-Mar-11"	"Mar"	"Event"	"Snowmelt"	"Snowmelt"	NA	0	0	0	0	500	190	NA	14887	NA	788	NA	113	"3/17/2011 8:30"	"3/19/2011 18:15"	147.0155	94.0464	"UW 034"	FALSE	"Snowmelt"	2011-03-17 19:15:00	2011-03-17	2011-03-17 13:30:00	2011-03-19 23:15:00	12702182.237625	94.04639	57.75	2011-03-17 05:00:00	2011-03-17 06:00:00	3.89232e-05	0	0	0	0	179842.872903227	68340.2917032263	NA	5354641.69782069	283432.367695486	40644.4892761294
"UW 035"	"34643 - 34642"	NA	"Underwood"	"UW"	FALSE	"UW 035"	"3/20/2011 9:37"	"3/21/2011 8:01"	"3/20/2011 15:37"	"3/21/2011 14:01"	"20-Mar-11"	""	"Mar"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0.31	0	0.31	NA	NA	NA	NA	NA	NA	NA	NA	"3/20/2011 8:40"	"3/21/2011 23:45"	271.0412	517.5336	"UW 035"	FALSE	"Rainfall"	2011-03-20 15:37:00	2011-03-20	2011-03-20 13:40:00	2011-03-22 04:45:00	23418053.56425	517.5336	39.0833333333333	2011-03-20 04:00:00	2011-03-21 03:00:00	36.111368026	0	205.568883381253	0	205.568883381253	NA	NA	NA	NA	NA	NA
"UW 036"	"34655 - 34654"	NA	"Underwood"	"UW"	FALSE	"UW 036"	"3/22/2011 15:03"	"3/23/2011 21:49"	"3/22/2011 21:03"	"3/24/2011 3:49"	"22-Mar-11"	NA	"Mar"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"3/22/2011 14:00"	"3/24/2011 8:00"	273.0428	546.1993	"UW 036"	FALSE	"Rainfall"	2011-03-22 21:03:00	2011-03-22	2011-03-22 19:00:00	2011-03-24 13:00:00	23590855.1835	546.1993	42	2011-03-22 10:00:00	2011-03-24 08:00:00	14.852983648	0	0	0	0	NA	NA	NA	NA	NA	NA
"UW 037"	"34669 - 34668"	10600	"Underwood"	"UW"	FALSE	"UW 037"	"3/29/2011 8:38"	"3/30/2011 10:37"	"3/29/2011 14:38"	"3/30/2011 16:37"	"29-Mar-11"	"30-Mar-11"	"Mar"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	146	153	NA	8275	NA	1095	NA	3615	"3/29/2011 8:38"	"3/30/2011 10:37"	NA	NA	NA	NA	NA	2011-03-29 14:38:00	2011-03-29	2011-03-29 13:38:00	2011-03-30 15:37:00	1927126.7325	21.48936	25.9833333333333	2011-03-29 13:00:00	2011-03-30 15:00:00	0	0	0	0	0	7967.24219894153	8349.23326327434	NA	451568.008193433	59754.3164920615	197271.099651874
