FT#	Site Code	Abb.	Sample Date	Event 	Enterococci CFU/100ml	E. coli CFU/100ml	BacHuman CN/100ml	RERUN BacHuman CN/100ml	BacSp CN/100ml	Ratio Human/Sp	Entero CN/100ml	Lachno 2 CN/100ml	RERUN Lachno 2 CN/100ml	Ruminant CN/100ml	Cow CN/100ml	Notes
10522	USGS16th	MC	21-Mar-11	Rain	260.00 	100.00 	4819.50 		320855.77 	0.02 	39049.98 	5217.37 				
10523	USGSDonges	LD	21-Mar-11	Rain	130.00 	30.00 	BLD	0.00 	181301.88 		57673.78 	BLD	0.00 			
10524	USGSHoney	HW	21-Mar-11	Rain	530.00 	70.00 	5285.35 		416895.72 	0.01 	54151.98 	8458.26 				
10525	USGSUnd	UW	21-Mar-11	Rain	500.00 	190.00 	BLD	113.00 	187097.91 		14886.65 	BLD	788.00 			
10526	USGSMenFal	MF	21-Mar-11	Rain	150.00 	20.00 	BLD	BLD	77219.37 		4999.87 	BLD	308.00 			
10592	USGS16th	MC	24-Mar-11	Rain	990.00 	430.00 	5311.31 		351404.07 		41788.24 	7573.78 				
10594	USGSHoney	HW	24-Mar-11	Rain	180.00 	730.00 	3532.97 		297429.17 		51944.63 	8294.81 				
10597	USGS16th	MC	30-Mar-11	Baseflow	39.00 	38.00 	4731.11 		235933.69 		11658.85 	4204.44 				
10598	USGSDonges	LD	30-Mar-11	Baseflow	77.00 	18.00 	1922.50 	855.00 	408319.08 		9394.65 	942.44 	1028.00 			
10599	USGSHoney	HW	30-Mar-11	Baseflow	102.00 	44.00 	11172.55 	4845.00 	319761.51 		16158.11 	21.93 	19590.00 			
10600	USGSUndod	UW	30-Mar-11	Baseflow	146.00 	153.00 	1119.27 	3615.00 	236929.18 		8275.21 	BLD	1095.00 			
10601	USGSMenFal	MF	30-Mar-11	Baseflow	24.00 	8.00 	BLD	758.00 	122474.59 		2292.90 	BLD	420.00 			
10616	USGS16th		18-Apr-11	QA/QC	0.00 	0.00 		BLD	BLD				BLD			
10617	USGSDonges		18-Apr-11	QA/QC	0.00 	0.00 		BLD	BLD				BLD			
10618	USGSHoney		18-Apr-11	QA/QC	0.00 	0.00 		BLD	BLD				BLD			
10619	USGSUnd		18-Apr-11	QA/QC	0.00 	0.00 		BLD	388.17 				BLD			
10620	USGSMenFal		18-Apr-11	QA/QC	0.00 	0.00 		BLD	BLD				BLD			
																
