FT#	Site Code	Abb.	Sample Date	Event 	Enterococci CFU/100ml	E. coli CFU/100ml	BacHuman CN/100ml	RERUN BacHuman CN/100ml	BacSp CN/100ml	Ratio Human/Sp	Entero CN/100ml	Lachno 2 CN/100ml	RERUN Lachno 2 CN/100ml	Ruminant CN/100ml	Cow CN/100ml	Notes
8656	USGSMF012	MF	25-Oct-09	Rain	510.00 	410.00 	BLD	383.00 	165400.01 		14429.01 	BLD	1875.00 			
8657	USGSHW015	HW	25-Oct-09	Rain	3700.00 	3400.00 	5788.22 		611698.16 	0.01 	125457.21 	4292.63 				
8666	USGSHW016	HW	21-Nov-09	Rain	25600.00 	10600.00 	6848.19 		1726737.59 	0.00 	687645.74 	6127.78 				
8667	USGSMW016	MW	21-Nov-09	Rain	3800.00 	4100.00 	25775.13 		509536.53 	0.05 	120702.19 	21833.79 				
8668	USGSMC017	MC	21-Nov-09	Rain	80.00 	90.00 	3041.17 		170117.07 	0.02 	13336.33 	2004.39 				
8669	USGSMF013	MF	21-Nov-09	Rain	450.00 	2200.00 	1602.67 	773.00 	136531.73 	0.01 	16677.21 	BLD	1020.00 			
8670	USGSLD015	LD	21-Nov-09	Rain	60.00 	50.00 	1420.11 	638.00 	57795.44 	0.02 	2439.71 	635.85 	968.00 			
8695	USGSHW018	HW	23-Jan-10	Baseflow	147.00 	49.00 	11367.64 		274039.25 	0.04 	36537.28 	5848.38 				
8696	USGSMF015	MF	23-Jan-10	Baseflow	17.00 	15.00 	1110.06 		76371.78 	0.01 	5111.08 	1088.92 				
8697	USGSMC019	MC	23-Jan-10	Baseflow	68.00 	34.00 	7297.72 		326008.93 	0.02 	74144.61 	6389.30 				
8698	USGSMW018	MW	23-Jan-10	Baseflow	30.00 	26.00 	8730.52 	3233.00 	161881.22 	0.05 	9691.57 	4288.17 	5978.00 			
8699	USGSLD017	LD	23-Jan-10	Baseflow	14.00 	33.00 	6014.58 	3169.00 	85807.27 	0.07 	3246.35 	1622.99 	3851.00 			
8702	USGSLD018	LD	28-Jan-10	Rain	210.00 	460.00 	4236.17 		1006809.39 	0.00 	214531.78 	6036.80 				
8703	USGSMW019	MW	28-Jan-10	Rain	580.00 	360.00 	6535.07 		498879.01 	0.01 	84297.06 	11264.65 				
8704	USGSHW019	HW	28-Jan-10	Rain	1600.00 	820.00 	BLD	578.00 	176010.42 		137340.46 	5556.30 	9975.00 			
8705	USGSMF016	MF	28-Jan-10	Rain	340.00 	230.00 	2441.44 		477165.61 	0.01 	47057.48 	3419.03 				
8706	USGSMC020	MC	28-Jan-10	Rain	470.00 	320.00 	10923.62 		668145.66 	0.02 	89285.93 	15579.57 				
8717	USGSLD019	LD	04-Mar-10	Baseflow	8.00 	31.00 	1843.39 		93381.00 	0.02 	7983.17 	970.65 				
8718	USGSMW020	MW	04-Mar-10	Baseflow	116.00 	135.00 	10616.53 		235591.25 	0.05 	12108.15 	6631.17 				
8719	USGSMC021	MC	04-Mar-10	Baseflow	2.00 	4.00 	1205.14 		76789.49 	0.02 	4727.59 	3460.74 				
8720	USGSHW020	HW	04-Mar-10	Baseflow	200.00 	310.00 	8635.78 		326589.53 	0.03 	51731.16 	9066.31 				
8721	USGSMF017	MF	04-Mar-10	Baseflow	6.00 	20.00 	BLD	236.00 	163866.14 		8616.72 	541.15 	941.00 			
